"ProteinAccession","GN","ProteinDescription","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s4_M_6","b2_s15_M_6","b3_s1_M_6","b3_s15_M_6","b1_s9_M_12","b1_s16_M_12","b2_s14_M_12","b3_s9_M_12","b1_s11_M_18","b2_s3_M_18","b2_s9_M_18","b3_s5_M_18","b1_s15_M_24","b2_s5_M_24","b3_s3_M_24","b3_s6_M_24","b1_s1_M_30","b1_s2_M_30","b2_s13_M_30","b3_s7_M_30","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3","b1_s5_F_6","b2_s11_F_6","b3_s10_F_6","b3_s13_F_6","b1_s6_F_12","b1_s8_F_12","b2_s6_F_12","b3_s4_F_12","b1_s14_F_18","b2_s1_F_18","b2_s4_F_18","b3_s8_F_18","b1_s3_F_24","b2_s12_F_24","b3_s2_F_24","b3_s11_F_24","b1_s7_F_30","b1_s10_F_30","b2_s8_F_30","b3_s12_F_30","b1_s18_IR_IR","b2_s18_IR_IR","b3_s18_IR_IR","b1_s17_Ctr_Ctr","b2_s17_Ctr_Ctr","b3_s17_Ctr_Ctr"
"tr|B1ARG5|B1ARG5_MOUSE","Acsl6","Long-chain-fatty-acid--CoA ligase 6 (Fragment) OS=Mus musculus GN=Acsl6 PE=4 SV=1",102058.7459,96213.15854,95831.20587,92718.15015,115675.2707,102878.1643,87889.89367,103903.5873,109176.9344,94157.53107,96348.95319,91604.39625,109189.3508,100651.9136,90271.96928,98672.09036,106361.7708,78305.71602,86962.66138,107325.3113,117322.0538,103105.6623,93696.91804,94289.60966,109643.2051,85320.67871,85542.74889,94750.93495,105841.4154,89095.52003,88136.75411,98195.63653,109320.314,93600.84544,116841.1868,77370.37782,104803.421,77792.32274,80007.10832,91984.52452,100574.8931,94638.10937,60367.46351,91639.6846,91574.89391,109545.9096,98046.41956,88697.54975,93252.96584,93252.96584,93252.96584,23952.62354,16912.69523,26404.19904
"sp|P68134|ACTS_MOUSE","Acta1","Actin, alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1",10522993.35,9016955.743,6807626.76,9285091.511,18644488.79,7097511.596,9467810.258,5734201.044,8674684.17,18753129.91,15945601.42,11606764.95,13615376.55,16628885.04,6228763.974,7312475.889,5847628.96,8089116.277,11772032.34,13679095.05,6584350.367,13778874.81,11869286.99,10150584.82,8242476.244,17014034.3,6824957.133,6452597.069,13903159.01,12842781.32,5581689.058,12290951.88,15414015.35,12277394.79,5838432.469,5548305.522,13267270.36,4980861.057,6040667.377,16879362.32,15778542.66,10252287.99,11386614.33,5175426.55,12766066.95,11534484.69,5673949.765,7982322.629,11014254.1,11014254.1,11014254.1,2156481.535,1111757.193,1832576.005
"sp|P60710|ACTB_MOUSE","Actb","Actin, cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1",10471110.22,8914410.868,6813433.663,9324036.586,18856540.71,7204195.736,9408661.218,5715752.642,8701189.021,18555564.63,15574147.36,11722890.08,13538965.69,16010568.12,6333183.596,7350110.062,5905217.367,8037881.721,11619935.46,13665137.89,6561455.097,13927651.7,11966528.25,10105702.84,8191762.721,16174607.24,6943770.141,6530748.209,14002755.65,12590097.51,5685686.343,12337239.93,15561922.15,12286399.99,5911771.363,5526374.569,13168736.84,5060181.693,6116223.081,16940392.51,15957270.42,10326238.49,11101463.76,5238131.062,12751478.99,11573053.11,5797975.342,8060565.31,10884845.02,10884845.02,10884845.02,2122911.921,1126125.279,1860443.157
"sp|Q8BFZ3|ACTBL_MOUSE","Actbl2","Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1",8805029.326,6955101.675,5288765.933,7496739.031,15279719.8,5595201.118,7624767.145,4552209.814,7350262.334,14509255.36,12577810.59,9461392.993,11207053,12832151.44,4853522.818,5747961.21,5525532.717,6252447.95,9192502.262,10955062.53,5913210.387,11657754.52,9509538.551,8077249.782,7148980.92,12933557.15,5517818.775,5065951.069,11625203.81,10112374.82,4444394.933,10026487.43,12508509.67,10268361.96,4720958.545,4357237.252,10596106.17,3921846.641,4717655.168,13643836.54,12957557.26,8155258.054,8775912.14,4163762.774,10810537.62,9525413.754,4522936.799,6445242.932,8782677.382,8782677.382,8782677.382,1845453.916,873158.5893,1431422.208
"sp|P63268|ACTH_MOUSE","Actg2","Actin, gamma-enteric smooth muscle OS=Mus musculus GN=Actg2 PE=1 SV=1",10534204.98,9032554.93,6808676.784,9323456.412,18694659.29,7090761.744,9489914.197,5706918.919,8672480.862,18837943.43,16040432.79,11700329.89,13661350.32,16766931.21,6192848.059,7307765.841,5820993.731,8098082.4,11863258.29,13795682.75,6546361.033,13814650.25,11849225.88,10212593.96,8203946.125,17091152.32,6804164.74,6435613.274,13884936.88,12931254.75,5578311.47,12362472.57,15477321.41,12286780.62,5823269.348,5522388.882,13295759.86,4944396.897,6034923.314,16988883.97,15818971.21,10268410.42,11436881.5,5151320.455,12778285.18,11522903.27,5651662.236,7980203.976,11038109.64,11038109.64,11038109.64,2136501.539,1119439.318,1843685.37
"sp|Q7TPR4|ACTN1_MOUSE","Actn1","Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1",260868.7764,188877.701,174697.3966,283374.8542,497031.3015,185711.7357,186967.614,156627.5394,199617.7244,411987.1196,338844.8973,367180.0749,349815.0978,235626.6496,146811.1915,154951.174,149664.9569,169503.2985,228496.3901,304039.6045,174965.6241,266474.2281,277810.3031,257390.5257,193709.5932,312866.3138,140023.3767,216992.4069,349090.7111,283705.3263,168998.4066,394358.3912,528609.7301,293959.8037,155853.1293,124217.2756,297596.1031,135376.9601,167466.18,489014.3462,355879.5858,252465.7809,239615.4966,164193.6424,267301.4769,291833.9787,152515.1681,217978.2662,244596.9038,244596.9038,244596.9038,55783.61082,39088.77715,70705.07128
"sp|Q9JI91|ACTN2_MOUSE","Actn2","Alpha-actinin-2 OS=Mus musculus GN=Actn2 PE=1 SV=2",56484.17273,58855.95052,48012.49632,77756.39388,112378.6061,55854.48784,52633.82965,48246.80979,59513.09733,100229.3375,100028.1889,105866.5527,82090.65339,66946.04875,43981.87774,45049.99372,46146.75851,48986.65842,69190.01619,97249.3871,46262.56242,71160.5856,79607.55145,74190.7647,53159.13745,85049.40685,39832.04518,62623.87733,73966.84876,77492.28889,47642.87455,111249.0781,101914.0259,66573.78408,42989.00757,37308.39823,75502.43218,39629.39914,46591.60661,138778.6166,89957.16094,73968.16941,73159.52383,42562.96867,62633.0475,68284.01047,40932.8718,54651.86346,68378.50837,68378.50837,68378.50837,13534.70994,8566.762544,14824.18347
"tr|E9Q2W9|E9Q2W9_MOUSE","Actn4","Alpha-actinin-4 (Fragment) OS=Mus musculus GN=Actn4 PE=4 SV=1",103101.348,76951.09714,62710.50964,110380.6105,193663.1894,71658.71961,72458.25486,68060.99703,76381.22791,163373.8862,134036.4807,130571.4842,145278.9071,93109.95857,58699.63361,59575.94189,59483.8283,65840.96146,87206.81298,105728.8942,69651.06872,107067.9026,113363.6522,97381.2071,73960.20101,132011.0904,52282.51139,84610.10769,135303.5631,110273.738,70347.01029,135332.2501,206287.8361,117874.8142,63627.62202,51403.32492,116517.1963,56374.46746,77396.23098,162046.4002,141015.3682,102083.5063,91492.3891,71056.16238,104262.1746,115593.8867,60999.51219,91277.11038,95062.54376,95062.54376,95062.54376,19418.80887,13802.65538,28804.29624
"sp|P57780|ACTN4_MOUSE","Actn4","Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1",152659.6295,113423.7556,100067.5283,166378.5412,265080.7275,111976.1345,108024.458,102855.7052,106659.6607,224603.3798,192830.1261,192984.6891,204756.6994,136808.5049,93780.07526,86481.1282,89493.35992,104143.3016,129601.2726,161174.0885,103007.2949,142070.94,162665.7628,142592.7285,107683.1274,195516.1833,86184.81222,123354.8915,188764.729,160282.1312,102701.3224,196868.2257,292905.8804,172800.9999,97467.16172,77034.91545,164352.6235,87968.85754,119248.7637,242487.8818,189557.7624,152692.9143,134606.3494,105126.8699,147602.2498,162547.9529,97410.76102,133230.9824,140581.5529,140581.5529,140581.5529,28602.23422,20651.87728,40030.07431
"sp|Q9QZB7|ARP10_MOUSE","Actr10","Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2",45798.7277,49237.08969,21372.3724,41349.251,40149.99692,30152.46182,37488.3344,34468.22961,36489.11967,36075.3965,35708.12374,50819.96401,40601.24163,29990.01064,35774.61563,29061.65454,37355.81941,34845.0985,34442.01983,42682.1327,46211.02561,37535.16386,34110.03048,33391.24922,32750.67169,41165.8664,35793.00265,34081.74281,39534.77076,45166.17475,31201.00918,45095.48536,58290.70276,38584.53548,38022.4047,29797.95846,35662.33971,33173.18511,46057.47832,54343.36732,37707.40671,29212.33467,28022.89168,39850.4424,38954.98715,39570.57382,35449.37555,41556.38904,38897.18277,38897.18277,38897.18277,24881.33933,6083.405459,19641.96718
"sp|P61164|ACTZ_MOUSE","Actr1a","Alpha-centractin OS=Mus musculus GN=Actr1a PE=2 SV=1",152391.5271,141093.4955,97858.02208,121211.7157,128459.4288,96956.79588,104214.4846,97740.37071,96746.37604,114134.0165,120857.5144,152622.0017,123898.8455,120938.0103,100078.4054,79829.99042,124882.9464,110553.3531,98329.80319,122868.0205,134697.3148,114301.8942,112242.006,84568.35455,99607.36588,120694.867,99663.12125,102196.7079,111980.9584,132719.7633,100929.7818,131854.0523,205253.0659,111982.9489,110762.7192,82801.38392,117041.1174,99898.69119,119398.5593,172058.8764,105430.1565,99306.81472,85538.3766,109638.2342,108176.5574,104901.0108,115226.3237,129942.2231,117002.8502,117002.8502,117002.8502,54523.41321,30266.53584,67551.30498
"sp|Q8R5C5|ACTY_MOUSE","Actr1b","Beta-centractin OS=Mus musculus GN=Actr1b PE=1 SV=1",188490.8699,172005.898,113254.5053,155067.3651,150522.6842,119691.9753,132805.2655,122380.073,122444.4295,143468.9309,149566.6675,199862.8676,152889.4534,143217.918,121310.1379,89170.526,147885.6731,130495.7043,118360.2009,137777.9122,167404.459,145341.9088,135305.8825,106425.9645,125461.2535,144524.2124,122915.1896,129688.3236,146021.4885,168345.2581,119513.8736,173586.6107,246560.1428,147398.0129,129128.4758,99552.1371,146110.9156,125473.3533,146219.3312,220160.1224,130392.8119,125048.21,101545.6853,136638.6348,138060.4366,132869.2737,142969.784,165507.065,143480.6636,143480.6636,143480.6636,68376.36136,35170.89424,83864.00723
"sp|P61161|ARP2_MOUSE","Actr2","Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1",40421.03357,43436.90175,34216.71474,41334.77125,47870.07083,35193.95708,40020.25303,34761.68135,33483.55485,37433.81764,42617.84854,37202.24086,44146.20573,44443.05855,31667.64069,34267.94304,24301.51023,35075.09796,38812.17864,33917.3884,33561.91848,43176.25202,42267.60622,40657.51996,31670.71874,37611.79056,32312.37844,35567.98274,46197.00438,41817.26876,34224.26636,40697.83983,37788.4842,36058.25197,28000.20085,30330.70475,34979.44223,30642.68951,36898.75634,47054.14737,42699.1082,32392.53655,37075.65179,34429.3482,46962.88491,34868.40295,29304.76996,41282.42078,36147.26613,36147.26613,36147.26613,13196.63054,7810.059508,22349.71029
"sp|Q99JY9|ARP3_MOUSE","Actr3","Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3",34701.67418,32589.36643,27141.17652,32510.80385,45945.80821,26063.10183,37000.50999,26997.53064,24193.20026,28632.12616,35828.29547,33926.77502,37190.84864,35789.32997,23374.32996,29141.91643,24876.84921,23794.47947,31851.4251,29910.91327,26102.41867,38870.6644,33970.63256,35761.91942,22422.74024,36035.08066,25515.33917,28724.94313,42650.11015,33819.8263,25623.77535,34406.67819,31334.89957,29840.89643,23776.57757,22390.71678,21980.74137,19879.96988,24877.21168,40748.19862,33999.19991,22361.45265,31129.58796,25074.4126,34424.6723,28483.93317,23511.19555,31322.88488,32024.74889,32024.74889,32024.74889,11083.62574,5942.727518,12427.92839
"sp|P37172|ACVR1_MOUSE","Acvr1","Activin receptor type-1 OS=Mus musculus GN=Acvr1 PE=2 SV=2",23911.09722,28548.34474,24489.23442,19695.32004,26539.94982,24229.35233,20663.61612,22601.70263,26565.90129,26315.86627,25513.61986,17909.93643,21938.38701,30735.39684,28517.44659,19070.26395,26325.35523,28480.64923,19299.00991,22136.44014,29564.07608,32172.75951,30146.65761,18150.11292,22723.61025,31857.1627,31080.58011,24325.16865,26717.71489,27925.74287,21462.27153,24943.54236,22672.76892,25557.3743,29135.87934,21971.99583,27196.65406,26276.85218,30586.96213,16136.54226,27725.14186,27527.07778,21563.78453,25824.27122,36112.2101,28585.78887,34955.72696,23160.16524,25569.01597,25569.01597,25569.01597,4402.279542,2417.603997,7051.802952
"sp|Q61271|ACV1B_MOUSE","Acvr1b","Activin receptor type-1B OS=Mus musculus GN=Acvr1b PE=1 SV=1",47221.56851,66069.04949,51737.30738,52586.64514,67704.5195,47302.33788,50075.28147,58029.67938,56636.86818,44657.47477,48833.14362,49552.94143,46052.9757,105630.3049,55320.99005,50834.64252,64527.59856,81106.95924,50044.21475,55324.82,54880.23633,64342.77148,51233.36472,50508.84375,57886.10964,83272.36078,49279.78357,58596.91312,53757.01333,68919.55186,57358.93892,49695.94156,52532.92396,58372.1381,68566.01386,53679.76037,51784.331,60457.37945,58580.45208,52557.84544,59280.99033,41394.68232,51631.60006,56288.88746,51501.89975,57582.43268,72387.2557,60145.46163,58288.60604,58288.60604,58288.60604,12482.68,17461.40068,15943.53112
