"ProteinAccession","GN","ProteinDescription","Ctr_Avg","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s4_M_6","b2_s15_M_6","b3_s1_M_6","b3_s15_M_6","b1_s9_M_12","b1_s16_M_12","b2_s14_M_12","b3_s9_M_12","b1_s11_M_18","b2_s3_M_18","b2_s9_M_18","b3_s5_M_18","b1_s15_M_24","b2_s5_M_24","b3_s3_M_24","b3_s6_M_24","b1_s1_M_30","b1_s2_M_30","b2_s13_M_30","b3_s7_M_30","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3","b1_s5_F_6","b2_s11_F_6","b3_s10_F_6","b3_s13_F_6","b1_s6_F_12","b1_s8_F_12","b2_s6_F_12","b3_s4_F_12","b1_s14_F_18","b2_s1_F_18","b2_s4_F_18","b3_s8_F_18","b1_s3_F_24","b2_s12_F_24","b3_s2_F_24","b3_s11_F_24","b1_s7_F_30","b1_s10_F_30","b2_s8_F_30","b3_s12_F_30","b1_s18_IR_IR","b2_s18_IR_IR","b3_s18_IR_IR","b1_s18_IR_IR < 0","b2_s18_IR_IR < 0","b3_s18_IR_IR < 0","b123_Neg"
"Q3TA40","6430548M08Rik","Protein 6430548M08Rik OS=Mus musculus GN=6430548M08Rik PE=2 SV=1",43638.6473433333,266114.529656667,254646.230056667,178223.814356667,218376.708356667,192818.533656667,175621.205356667,215001.319956667,202600.634856667,191251.894756667,231223.576656667,205182.892556667,270453.509756667,220329.397556667,189470.476256667,228851.996256667,172129.863656667,210762.226756667,234894.770456667,198897.148756667,212677.522356667,226334.471756667,207962.999356667,197991.441956667,173745.618856667,173928.368456667,244179.997456667,167674.991756667,225606.876956667,200463.001856667,204908.141456667,199194.937456667,218834.143756667,275668.701756667,212507.020256667,215083.022056667,215778.052156667,222332.445256667,207500.458856667,228202.374556667,271552.063756667,163074.924656667,194197.934756667,191090.964756667,249125.571856667,179654.452856667,212060.306556667,258038.664256667,242450.546356667,208452.850956667,208452.850956667,208452.850956667,0,0,0,0
"Q0VAW6","8030462N17Rik","Protein 8030462N17Rik OS=Mus musculus GN=8030462N17Rik PE=2 SV=1",5290.485957,4009.043878,11149.208793,10324.978283,7596.160663,3269.488207,7912.708813,9846.175043,8257.574083,3518.022013,8559.711333,10057.437983,9417.387633,6179.396573,12163.130263,17148.517563,9008.148793,5578.749843,21728.390283,11730.664473,19210.643153,9208.981843,9459.613233,9160.992053,11245.319613,5287.878643,10769.094733,8978.746383,11699.960173,5254.533353,8631.703113,16435.339043,8443.984883,5671.085153,10067.328733,10693.734023,18279.511133,8120.470013,14781.089653,12605.714423,11430.109553,5109.223613,10471.446183,14098.125773,14102.014343,7374.383373,7717.540223,12763.260103,8301.132073,10047.849233,10047.849233,10047.849233,0,0,0,0
"I1E4X5","9030624J02Rik","Protein 9030624J02Rik OS=Mus musculus GN=9030624J02Rik PE=4 SV=1",18301.2338066667,7838.03981333333,10780.6808233333,2861.56106333333,11811.6276833333,7606.99564333333,11259.3744933333,7553.15833333333,17280.5811933333,7626.34314333333,7472.03813333333,6286.48030333333,33842.5563233333,5340.70052333333,5312.71014333333,5515.29090333333,5657.42108333333,6415.75867333333,6681.03821333333,6690.65525333333,17448.9093033333,5689.91973333333,8053.35341333333,9403.63465333333,9853.56657333333,3786.08329333333,1289.75972333333,5691.66145333333,13712.1018233333,5125.41077333333,11075.3264033333,7123.41285333333,20514.6804733333,10960.9562333333,4475.46553333333,10316.4369133333,3093.55855333333,5129.49243333333,15066.2537633333,8672.55227333333,22623.8027533333,8896.41119333333,6858.64095333333,3063.62671333333,13511.3879533333,4797.25448333333,2984.70027333333,11649.7617733333,21622.8608033333,8627.70684333333,8627.70684333333,8627.70684333333,0,0,0,0
"E9PUJ3","9330182L06Rik","Protein 9330182L06Rik OS=Mus musculus GN=9330182L06Rik PE=4 SV=1",6474.57361,23905.04537,33165.39091,26985.81002,39358.12372,27046.16026,39205.47432,37192.32015,33566.57453,34247.1048,35132.8684,35351.89527,30972.59994,25922.9491,42515.91883,29866.60533,31625.75268,27129.79383,34509.18397,42324.70892,38534.48715,26261.9817,29424.94988,38128.05224,44769.06573,34138.25937,33658.0046,40129.52906,33773.36307,24563.91441,36834.77051,43074.0104,34333.29577,22598.70035,22165.24844,38090.09042,38460.82898,28218.06656,48685.74869,35303.9677,37038.06624,30454.14282,35298.26777,35694.75765,31714.16382,23525.60893,25917.36618,33470.20376,30058.8348,35397.15774,35397.15774,35397.15774,0,0,0,0
"A2A6U3","A2A6U3","Septin-9 OS=Mus musculus GN=Sept9 PE=1 SV=1",11288.2040033333,35476.0012766667,34730.6149366667,32038.2673766667,35253.6560366667,32686.3261866667,31564.2998466667,35569.5406666667,30152.9608166667,34810.5760366667,31539.5140766667,29454.1617566667,33742.9793366667,33816.6761166667,30794.1333166667,28890.3520266667,42076.4920766667,39247.5235766667,26701.3345166667,33141.9994566667,31960.5664866667,41513.1780566667,33030.2127566667,29528.7624266667,38595.1812466667,32731.6219366667,30532.8058666667,30848.1195466667,33391.7875066667,33213.5402466667,31126.5948066667,31343.5107666667,35051.3271366667,33216.6346666667,36952.7763566667,31011.3530166667,29750.0518766667,35273.6784766667,30063.2595666667,30365.3756266667,37407.1291066667,29220.8613566667,27247.8790566667,29818.7443866667,36627.3936266667,35001.3662666667,32827.8793466667,32556.1945766667,41275.3131466667,31980.5074766667,31980.5074766667,31980.5074766667,0,0,0,0
"E9QLA8","A830010M20Rik","Protein A830010M20Rik OS=Mus musculus GN=A830010M20Rik PE=4 SV=1",34529.84646,37297.21628,33028.43906,43966.42074,37589.41975,34885.34934,37493.96802,29495.77252,34860.63973,25611.96434,36554.82847,39498.45756,71154.60184,34948.06606,33016.33818,30716.78429,44175.95019,31329.51523,26319.15299,32477.62281,38362.40419,30888.06366,30637.02351,33784.44574,35376.48768,35380.11652,36907.92867,33818.90157,34306.10343,28623.0521,35045.10585,36974.18477,66095.08394,59503.69245,31692.00589,27542.60881,30337.29399,32310.29268,31739.18407,29313.27145,70406.20734,33620.09168,36403.23714,33663.19879,33727.4114,34311.35825,24691.46584,33450.61931,35305.14518,39548.43515,39548.43515,39548.43515,0,0,0,0
"G3X9V7","A830010M20Rik","MCG19133, isoform CRA_b OS=Mus musculus GN=A830010M20Rik PE=4 SV=1",34529.84646,37297.21628,33028.43906,43966.42074,37589.41975,34885.34934,37493.96802,29495.77252,34860.63973,25611.96434,36554.82847,39498.45756,71154.60184,34948.06606,33016.33818,30716.78429,44175.95019,31329.51523,26319.15299,32477.62281,38362.40419,30888.06366,30637.02351,33784.44574,35376.48768,35380.11652,36907.92867,33818.90157,34306.10343,28623.0521,35045.10585,36974.18477,66095.08394,59503.69245,31692.00589,27542.60881,30337.29399,32310.29268,31739.18407,29313.27145,70406.20734,33620.09168,36403.23714,33663.19879,33727.4114,34311.35825,24691.46584,33450.61931,35305.14518,39548.43515,39548.43515,39548.43515,0,0,0,0
"Q3UHJ0","Aak1","AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2",151231.283966667,490553.986233333,354912.573933333,51326.3235333333,395740.345833333,263522.958433333,166977.149533333,195676.924933333,250389.829133333,138542.710933333,293403.530833333,251029.028233333,695013.824333333,366889.239033333,145669.932533333,161798.019733333,53621.7321333333,233439.938133333,170203.495333333,190707.398833333,304490.432633333,247069.224733333,169733.523933333,199736.524733333,242080.955633333,188100.504633333,235374.372433333,151155.812633333,277731.094933333,256543.837633333,317039.290833333,201864.685033333,456153.860433333,638677.254233333,175846.159433333,170164.969333333,111811.539933333,228788.324533333,189547.679833333,222579.758533333,701483.086633333,147037.169433333,199376.452933333,127034.810533333,291453.260833333,287245.740733333,144167.077633333,243661.883133333,418375.111133333,269726.105933333,269726.105933333,269726.105933333,0,0,0,0
"Q8BGQ7","Aars","Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1",15699.8233666667,30375.0542833333,44466.5856733333,3641.43687333333,25253.7593233333,17220.3068833333,283.798453333333,17999.4461833333,708.885623333332,4505.83310333333,14278.2937433333,17828.6136133333,12124.6724733333,992.584463333333,11690.8540933333,7732.34010333333,3084.12152333333,23006.9385733333,29493.9347833333,29612.1986033333,42615.9839033333,22743.5872733333,16772.1879433333,14933.3833333333,5710.85900333333,10632.6854533333,21911.9092333333,8599.77319333333,27459.6836633333,23012.3978333333,40605.2189133333,34766.7368933333,7762.46301333333,10833.7058433333,16407.5072833333,6314.40247333333,12048.0117133333,24546.3335033333,17617.3009633333,20243.3677133333,21138.1484533333,13792.7659833333,8123.22689333333,18179.4350133333,29250.5496633333,29222.1672733333,9100.81272333333,17836.9791933333,68483.1234033333,20780.7806033333,20780.7806033333,20780.7806033333,0,0,0,0
"Q80YE4","Aatk","Serine/threonine-protein kinase LMTK1 OS=Mus musculus GN=Aatk PE=1 SV=1",15348.0223633333,55153.7411466667,60235.2185166667,58865.7386966667,69925.7974666667,82031.2098966667,77202.7868366667,71303.9206566667,66947.1009566667,66292.3950766667,88291.8570366667,89945.4746366667,68828.5091066667,62704.6301766667,81439.6990466667,63239.4975266667,65037.9387166667,61091.9293466667,66723.1972766667,84193.7645266667,84190.2040566667,67892.8334066667,75345.9373266667,86680.7445366667,80151.6280166667,70060.4596066667,87057.5073366667,73664.1080066667,68510.1061566667,70793.2253066667,75885.6229966667,73489.9103266667,77334.9327066667,56865.1387466667,72619.7431766667,74718.7483066667,77275.7376366667,82232.1169566667,69562.2459066667,62088.1390266667,81923.5410166667,83003.3957366667,81636.8878566667,88161.1057366667,70933.0147166667,63140.4859466667,71770.9566766667,63543.7438766667,64513.2042366667,71854.5588366667,71854.5588366667,71854.5588366667,0,0,0,0
