"ProteinAccession","GN","ProteinDescription","Ctr_Avg","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s4_M_6","b2_s15_M_6","b3_s1_M_6","b3_s15_M_6","b1_s9_M_12","b1_s16_M_12","b2_s14_M_12","b3_s9_M_12","b1_s11_M_18","b2_s3_M_18","b2_s9_M_18","b3_s5_M_18","b1_s15_M_24","b2_s5_M_24","b3_s3_M_24","b3_s6_M_24","b1_s1_M_30","b1_s2_M_30","b2_s13_M_30","b3_s7_M_30","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3","b1_s5_F_6","b2_s11_F_6","b3_s10_F_6","b3_s13_F_6","b1_s6_F_12","b1_s8_F_12","b2_s6_F_12","b3_s4_F_12","b1_s14_F_18","b2_s1_F_18","b2_s4_F_18","b3_s8_F_18","b1_s3_F_24","b2_s12_F_24","b3_s2_F_24","b3_s11_F_24","b1_s7_F_30","b1_s10_F_30","b2_s8_F_30","b3_s12_F_30","b1_s18_IR_IR","b2_s18_IR_IR","b3_s18_IR_IR","b1_s18_IR_IR < 0","b2_s18_IR_IR < 0","b3_s18_IR_IR < 0","b123_Neg"
"P41233","Abca1","ATP-binding cassette sub-family A member 1 OS=Mus musculus GN=Abca1 PE=1 SV=4",10408.0895583333,37793.0165416667,19441.8444616667,31046.4274016667,47741.4366916667,45262.3757916667,44413.5936616667,45457.9627116667,35551.2568016667,65312.1119416667,48990.8306616667,59280.1869516667,34356.6302716667,46275.8674316667,45815.9140516667,42244.9603916667,44336.7839516667,38960.7501016667,34499.6269316667,53067.2437416667,39325.6045216667,45912.7134516667,64132.0498816667,49787.1932716667,46256.3873116667,51491.7896016667,34981.3381816667,49414.0037016667,40823.4747516667,46787.7306116667,48863.3630816667,47979.3665116667,31521.7510816667,35876.0524716667,33927.1365116667,41076.3474616667,38778.5902216667,54815.6717416667,42241.0409316667,27736.9384816667,38666.0541916667,50619.2575216667,48619.4814916667,37755.1631916667,39122.7771916667,43317.1231716667,47745.5885716667,34805.8987316667,32001.9178616667,38309.4617516667,38309.4617516667,38309.4617516667,0,0,0,0
"E9PX95","Abca17","Protein Abca17 OS=Mus musculus GN=Abca17 PE=3 SV=1",5728.94407566667,28320.8050243333,24156.7844043333,28366.8001343333,26791.7378043333,30110.1962343333,33033.9476043333,27610.5524243333,30281.1098643333,25804.7019643333,28031.0888443333,29770.1925443333,26119.9927543333,26165.0859943333,26582.6379343333,28847.9397843333,25975.0782343333,33018.1699543333,24160.8936643333,27858.8812943333,31420.6976443333,25124.1091243333,31341.5944343333,29660.8253943333,29675.5286343333,34299.4514443333,26349.8613443333,28431.7481543333,30458.8855043333,29309.1648343333,25399.1717043333,28339.8878143333,27374.8457443333,22663.1884143333,26633.5676143333,28379.2086343333,30262.5707243333,30137.9317043333,23102.8786243333,28619.3737643333,23895.2410943333,29969.4264343333,32237.6574043333,29233.4571443333,32707.6897143333,29632.3662643333,27032.7394843333,24743.9227143333,27430.6391043333,28947.7966243333,28947.7966243333,28947.7966243333,0,0,0,0
"A2AJ26","Abca2","ATP-binding cassette sub-family A member 2 OS=Mus musculus GN=Abca2 PE=1 SV=1",43664.4163,162100.8981,176944.371,204419.0781,214126.4362,229941.9222,262547.4687,235316.7006,206325.8767,289692.3647,228176.9271,262002.9533,186690.0818,202459.3179,248055.8641,219789.5465,214763.4055,207919.9639,238708.6117,279243.5998,222712.4649,270950.4893,284918.2457,260036.3359,265853.0406,249635.6205,215277.3587,255090.1353,200651.2925,217782.4816,233023.4559,251076.8814,190277.6431,165190.1851,187464.1311,261360.3175,215777.2614,247101.8129,245308.2909,206379.5277,199241.1214,247695.7539,228224.3254,212539.5126,214542.6513,215541.2661,217067.3343,221468.8088,176462.8418,215671.9931,215671.9931,215671.9931,0,0,0,0
"P41234","Abca2","ATP-binding cassette sub-family A member 2 OS=Mus musculus GN=Abca2 PE=1 SV=4",43681.0635466667,161826.007553333,176307.173253333,205352.374953333,213579.214953333,229746.698553333,263155.021953333,234725.866553333,205794.710153333,289884.658453333,228492.436353333,262377.107253333,186199.328953333,201837.481253333,248318.496253333,219415.424153333,214214.873353333,208316.288953333,238727.916253333,278562.357253333,222147.572253333,272953.074153333,285185.672153333,259917.644853333,265199.357853333,250014.735353333,215359.701553333,255222.322053333,200131.805253333,217626.162153333,232940.645553333,250453.610353333,189779.506453333,164296.391153333,187116.822653333,261961.724953333,215226.642553333,247355.794753333,245153.497053333,203932.158753333,198724.536453333,247858.495453333,227983.991353333,211995.557553333,213994.573453333,215216.893253333,217271.259053333,221176.893953333,175993.138053333,215121.590853333,215121.590853333,215121.590853333,0,0,0,0
"Q8R420","Abca3","ATP-binding cassette sub-family A member 3 OS=Mus musculus GN=Abca3 PE=2 SV=3",18968.4573066667,100907.868793333,112487.124793333,110617.078093333,112375.888193333,106337.110293333,122032.326793333,117243.604993333,116937.450893333,105620.019193333,117214.023393333,119270.717793333,107192.828893333,105851.657993333,115011.739593333,119511.320793333,114485.913893333,112266.294593333,116339.563393333,121168.262093333,116643.452593333,81842.2430933333,109469.986493333,115184.858493333,118833.650593333,113220.190193333,117552.498193333,113383.606993333,120029.884093333,107592.537593333,103574.216793333,112102.391993333,105586.557793333,94244.8608933333,104284.317193333,110937.418193333,121443.965593333,106843.625593333,102436.270493333,117133.957593333,99570.4134933333,108439.565193333,124075.609793333,127512.228693333,117032.072593333,106835.468293333,104071.077293333,111094.164493333,117160.200793333,111104.038793333,111104.038793333,111104.038793333,0,0,0,0
"Q8K448","Abca5","ATP-binding cassette sub-family A member 5 OS=Mus musculus GN=Abca5 PE=1 SV=2",46044.19617,287334.14503,304394.53443,330176.72573,358767.46083,321171.90093,427246.18933,377003.18003,354635.19553,350652.93993,390386.81133,450681.06613,306240.18973,332689.75783,396803.97403,359866.24873,370569.13583,338785.98253,366351.66833,434702.75073,388229.29203,253754.58983,356983.98503,407861.49273,380761.76973,338094.97643,393297.44113,346245.16623,337504.15533,340114.58713,326609.26823,334895.77423,319612.99923,296133.14373,327684.79813,374202.72873,364510.72013,337607.42343,299261.91193,315434.30043,319295.43563,331905.54853,366091.05583,371246.64083,313282.51073,297857.93643,300354.26633,295345.70033,260722.01323,346549.34983,346549.34983,346549.34983,0,0,0,0
"Q8K441","Abca6","ATP-binding cassette sub-family A member 6 OS=Mus musculus GN=Abca6 PE=2 SV=2",6474.683045,14314.520765,13602.920645,16463.432535,25319.158625,14414.833425,20569.097875,24807.998415,22502.696245,16803.238405,20497.975945,21334.819655,23000.206925,19248.001785,21427.802875,17132.310145,25834.175415,17348.173075,18751.503725,30465.235005,28863.198585,19011.391345,19660.979475,16874.335705,21733.626925,16395.532615,18195.824815,14106.789865,22000.548655,14415.413465,15984.482885,23942.346275,15974.728925,16371.464545,16311.511065,16052.074595,22941.779215,14427.423875,13878.724235,12191.231545,22304.469855,17683.432595,15640.002505,22575.068855,21493.585035,15990.893295,13945.936435,18084.960785,18120.579855,19208.255245,19208.255245,19208.255245,0,0,0,0
"Q8K440","Abca8b","ATP-binding cassette sub-family A member 8-B OS=Mus musculus GN=Abca8b PE=2 SV=2",9560.67597633333,47912.9702136667,38492.7628136667,39899.8492036667,44225.5326136667,45110.9260036667,47029.0890736667,36896.9183436667,38230.0396336667,55194.5697236667,51611.9684136667,45247.2852836667,38485.5254936667,50794.5659336667,47740.2198736667,41656.1772336667,40216.5017736667,49507.1212336667,39604.2466536667,47360.0652836667,47993.0519236667,47254.2582236667,51377.5233736667,45303.8617736667,49920.4043636667,53038.0258636667,46505.1169236667,41649.9255436667,42035.2858236667,51254.2359336667,45494.6773036667,42868.0437536667,39673.0347636667,46302.5938836667,60869.1467936667,41177.0263236667,45206.9273536667,54596.0732436667,39568.6011636667,44749.9067036667,41134.4275536667,56522.4679736667,47936.0081836667,51926.7265936667,40956.0336636667,53263.1709536667,61438.5775536667,40452.2984136667,38795.0721836667,42453.4982936667,42453.4982936667,42453.4982936667,0,0,0,0
"P21447","Abcb1a","Multidrug resistance protein 1A OS=Mus musculus GN=Abcb1a PE=1 SV=3",2990.132265,17459.785845,12265.210645,15507.363505,17934.254945,22328.053205,18416.916675,18643.287655,13944.716495,17586.263805,26647.449765,20437.825155,14355.943555,20316.089965,18807.605645,14194.572845,15898.034345,17360.020155,15026.534915,20243.213675,23440.534115,21529.073005,20918.696515,16919.678855,19868.242775,22790.371945,18848.314885,14996.713595,14269.372235,25877.489805,15161.288165,20148.825425,16132.524035,18865.610915,32108.938115,12464.191755,17029.843545,22721.820165,13879.713125,13871.920005,16791.909085,26521.293885,19822.080445,19074.074595,12634.888325,18030.826655,19599.118205,12729.211985,13768.100065,19355.073135,19355.073135,19355.073135,0,0,0,0
"P21440","Abcb4","Multidrug resistance protein 3 OS=Mus musculus GN=Abcb4 PE=2 SV=2",2307.977382,18141.940728,11428.928028,12378.059658,18461.825358,23010.208088,21244.093038,19877.344118,17997.168798,18268.418688,27329.604648,18341.070628,17887.973648,20998.244848,15825.675538,13386.336718,18493.915198,18042.175038,13749.258368,19165.730898,24317.896038,22211.227888,21600.851398,16729.463418,21519.346308,23472.526828,18683.784318,16787.933878,17388.974788,26559.644688,15324.299938,20579.192548,15888.601978,19547.765798,32791.092998,13068.512718,17394.101848,23403.975048,12155.315928,10553.227378,18442.545568,27203.448768,18661.540148,18663.437938,16454.992658,18712.981538,20281.273088,11876.167638,16277.672048,20037.228018,20037.228018,20037.228018,0,0,0,0
"Q9JJ59","Abcb9","ATP-binding cassette sub-family B member 9 OS=Mus musculus GN=Abcb9 PE=2 SV=1",4050.56148033333,17950.3187496667,19560.7355796667,17717.6059496667,16393.0907596667,19308.9264096667,20739.8998896667,16868.6249596667,17212.3702796667,17396.8964796667,22424.9658996667,21401.6620396667,15796.5150296667,17840.7526196667,22247.0308596667,16610.0132496667,16854.4993696667,17522.6279296667,17556.1474396667,16912.6335896667,19452.5673896667,22986.9432696667,18589.0534096667,22332.6327196667,17683.1602696667,21603.3583096667,17374.0496696667,20369.3080996667,18491.7436496667,22314.2987296667,22112.2595096667,20275.9441996667,17646.5088796667,17042.6450696667,23353.2586196667,21818.9356396667,17192.7565396667,19558.7010596667,19808.3432996667,18796.8236096667,16526.6718596667,20329.3688696667,15746.6765996667,17797.0618696667,15903.3075896667,17934.7295396667,15982.2300296667,21578.5984896667,16638.8384696667,18393.5174996667,18393.5174996667,18393.5174996667,0,0,0,0
"E9Q236","Abcc4","Protein Abcc4 OS=Mus musculus GN=Abcc4 PE=1 SV=1",15491.6106333333,15035.8690266667,-1183.32062333333,8787.19920666667,6873.43932666667,8690.25830666667,9177.68322666667,4033.57936666667,4898.09426666667,5254.88678666667,11774.0228366667,11032.4007066667,3224.24631666667,14875.0020366667,2788.61378666666,3029.91161666667,6258.19411666667,15829.8951966667,1745.80949666666,6150.45533666667,7324.40857666666,4803.70114666667,7853.65371666667,8668.61560666667,9465.25731666667,16548.3402466667,4161.50515666667,13804.6392566667,9102.11548666667,7681.73906666667,7770.13616666667,7631.98053666667,4308.98619666666,3413.45558666667,8799.26775666667,5785.63700666667,11399.2210866667,11169.4384466667,1154.66556666667,1327.95466666666,9996.54287666667,7922.16575666667,4961.68505666667,9629.40328666667,5096.24089666667,7510.22625666666,11154.8690566667,5128.82580666667,11449.9970366667,9155.03501666666,9155.03501666666,9155.03501666666,0,0,0,1
"Q9R1X5","Abcc5","Multidrug resistance-associated protein 5 OS=Mus musculus GN=Abcc5 PE=1 SV=2",7204.86389,20544.77222,29340.1029,30853.61158,31614.29029,26301.28694,29722.17015,32705.998,28138.62032,24522.79729,30324.26624,34596.45945,28617.97079,22402.44325,34221.14956,27652.12292,30426.69881,24920.03363,29746.56373,39887.90203,36931.36535,24072.56759,29129.97451,33393.22769,36856.76295,26139.87502,27388.78521,36120.861,31766.54814,24255.84128,29593.37953,32181.83218,29704.27478,19368.59742,23878.20934,30646.41553,33379.64365,25719.46253,33092.29776,30896.22492,29799.12697,25330.02651,27636.44862,34551.83537,27251.13372,23180.15997,20057.40997,26620.39398,25208.91237,29479.33011,29479.33011,29479.33011,0,0,0,0
"B2RUS7","Abcc8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8 OS=Mus musculus GN=Abcc8 PE=2 SV=1",6476.201656,8085.304884,11512.743884,5565.454284,8320.750594,3502.677752,7692.906674,8178.912584,8453.759874,9822.399594,12112.078174,9913.745924,6425.782954,10519.257634,7808.213234,7600.561304,4585.199434,7665.186304,8703.480614,6769.718774,5366.564584,7835.893834,6435.649944,9383.464334,10648.769634,8880.658514,7607.769224,7192.997394,8189.920234,3268.224831,9100.746934,7742.383144,3999.172644,7056.498094,8244.711154,7654.782744,6191.213094,8715.190594,9484.285004,9032.003954,6607.143244,4342.187324,9116.792104,7560.183024,5150.055194,9527.174394,7531.778564,6028.711314,8571.610294,10447.221004,10447.221004,10447.221004,0,0,0,0
"P61222","Abce1","ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=2 SV=1",25306.762741,45717.355719,14079.104089,21957.223829,34762.701109,25276.206189,29924.344889,31709.809269,8712.070419,21984.999259,21231.187619,16416.460129,20017.913559,25620.738819,21224.631029,44672.861159,12246.997939,45734.025929,22720.540679,18939.443789,28153.699939,54906.338579,27872.536709,22091.112369,6388.908339,15685.135729,13391.545609,14698.051389,30664.437539,33778.807439,53445.538509,20473.922429,20113.388229,25271.832869,29107.635489,28344.323429,8150.578299,32610.015559,17603.281809,17698.536639,29572.573759,19912.401589,26756.223399,9777.508999,40671.579549,36438.208409,25671.763189,21384.717699,60769.181959,21245.303069,21245.303069,21245.303069,0,0,0,0
"Q6P542","Abcf1","ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1",12321.525786,9900.835344,9907.019554,17675.182454,12964.355034,3853.042384,9166.936194,10512.934494,10259.016714,3819.813064,7014.689274,10091.195814,17473.067774,6270.772904,5312.880374,6766.519034,11387.685974,8201.923614,6138.083234,11848.082914,9072.550954,7154.778854,3940.928974,7242.850504,11520.754664,3291.146354,9782.085504,8299.082314,11851.898384,3748.814964,11718.595984,14785.872954,21068.566124,12779.260994,3742.853234,6721.653214,9661.889754,4002.333684,7018.480354,11841.623574,24361.862154,2414.799204,6721.511114,13189.062734,14274.094544,8737.739834,2192.639774,15021.079504,15819.490604,10940.479484,10940.479484,10940.479484,0,0,0,0
"Q99LE6","Abcf2","ATP-binding cassette sub-family F member 2 OS=Mus musculus GN=Abcf2 PE=2 SV=1",5251.05262333333,19158.2639766667,16586.2633966667,6032.35040666667,12348.8883266667,9947.06410666666,6718.73193666667,10597.8708366667,4726.89451566667,7674.14347666667,10969.9667266667,9014.38402666667,23215.1131666667,8831.26838666667,8553.77901666667,12388.9500466667,5513.01254666667,16246.7266766667,7951.29413666667,14166.3663566667,19896.9117966667,17236.7820266667,9654.44144666667,8713.27762666667,7102.61756666667,8569.44951666667,12812.1519166667,11121.9024866667,10631.0595166667,11632.1896066667,15100.1954366667,13717.6594866667,20747.3795266667,17446.0168966667,11854.4801666667,6411.96389666667,7814.29266666667,13629.8703466667,14171.9402366667,11912.6720366667,32968.6354866667,9051.48438666667,6500.90456666667,8957.10808666667,16642.8958766667,13179.2647866667,8432.46666666667,13602.6931366667,18501.1645366667,11901.9269066667,11901.9269066667,11901.9269066667,0,0,0,0
"Q8K268","Abcf3","ATP-binding cassette sub-family F member 3 OS=Mus musculus GN=Abcf3 PE=1 SV=1",9276.26033833333,23067.9753516667,9374.87408166667,-1715.46639933333,9529.69257166667,7906.51650166667,434.793750666666,5019.19876166667,3182.61313166667,6846.32848166667,8995.86954166667,6405.64268166667,17942.8734816667,8586.91239166666,3195.38787166667,3869.88412166667,786.385701666666,17659.9778516667,4996.71027166667,5601.96207166667,11504.7592316667,18251.0195316667,8092.90920166667,3247.42530166667,1978.92681166667,3376.25468166667,6434.94931166667,2569.59547166667,8212.35490166667,9628.05741166666,9435.56922166666,5990.96622166667,15504.9590416667,25144.9693316667,5960.29244166667,3649.92506166667,3167.45728166667,12271.4306716667,3986.87381166667,3974.10132166667,22472.6269316667,3105.24621166667,3523.04591166667,2487.32654166667,11791.2789016667,7286.07461166667,7068.86077166667,8512.88941166667,13787.1196516667,8268.00905166667,8268.00905166667,8268.00905166667,0,0,0,1
"Q64343","Abcg1","ATP-binding cassette sub-family G member 1 OS=Mus musculus GN=Abcg1 PE=1 SV=1",7941.01331566667,15323.4530243333,13976.3570843333,13662.7844843333,18335.9379543333,17469.4656843333,16201.6216543333,24236.3006943333,19643.5537943333,21919.9829743333,16178.9767143333,13526.1924543333,12603.4788543333,15991.7211543333,18134.1393843333,12596.8169743333,21244.2886343333,18454.5978343333,14505.5224643333,16456.3233843333,23302.4125343333,24732.5126543333,28771.0276243333,16270.1560143333,15814.9567843333,18841.0664043333,15746.8445143333,16659.7903343333,31380.2741243333,18695.0569343333,18681.6041843333,20887.1347743333,22101.0248043333,14662.7634443333,20855.6038843333,20263.5324243333,22294.2881043333,18787.7923643333,12761.6347543333,13595.6686743333,16458.5039543333,19985.7212043333,15597.8403343333,23052.4413143333,18722.4559343333,17795.0291243333,20216.7479843333,17325.5619743333,23368.0507543333,18015.2785643333,18015.2785643333,18015.2785643333,0,0,0,0
"Q99LR1","Abhd12","Monoacylglycerol lipase ABHD12 OS=Mus musculus GN=Abhd12 PE=1 SV=2",31826.4307633333,102466.269136667,88176.9311366667,108980.702136667,104175.424936667,99444.0532366667,114984.514136667,95716.1768366667,104500.103836667,109933.351336667,87821.0145366667,106473.239536667,92317.0642366667,107790.547136667,105892.667836667,102059.099736667,89534.6202366667,99267.1403366667,103568.843036667,87470.6310366667,102799.818536667,113139.858136667,97136.2077366667,102954.061836667,101398.247536667,106533.161936667,92781.8100366667,98437.8026366667,95864.8290366667,95004.5536366667,94545.7254366667,86209.4654366667,85111.3916366667,110540.757136667,95973.7768366667,133634.237536667,89459.4031366667,95334.4710366667,88197.8989366667,100732.821536667,92741.6549366667,92322.5919366667,105162.773936667,75640.8151366667,83293.8467366667,88924.0194366667,101448.588636667,108319.835936667,79824.1316366667,95869.5348366667,95869.5348366667,95869.5348366667,0,0,0,0
"Q9Z1Q2","Abhd16a","Abhydrolase domain-containing protein 16A OS=Mus musculus GN=Abhd16a PE=1 SV=3",58738.24778,111025.34912,87409.05362,141985.01212,113490.02642,146378.47802,145448.66802,103447.18512,128431.75202,152928.33422,94447.85692,115277.23142,113534.92012,133454.89452,130439.96282,111570.64432,116380.91872,132791.81622,97425.98892,103214.88502,123631.36282,162216.47492,139858.91482,124135.18822,119820.62392,118289.73062,98913.09892,119153.52852,107973.39812,132436.49232,113651.76002,104125.22562,112983.32962,134303.14462,120001.50272,161782.10312,99512.26892,113047.56542,84558.95352,95694.84422,115304.67492,134469.96892,105737.49892,86856.53702,107780.38452,95254.12052,123807.65142,106497.00022,93504.35022,118365.81372,118365.81372,118365.81372,0,0,0,0
"Q99JW1","Abhd17a","Alpha/beta hydrolase domain-containing protein 17A OS=Mus musculus GN=Abhd17a PE=2 SV=1",26668.2466933333,149423.436406667,191820.756306667,178581.030006667,146132.031806667,145959.277306667,185067.932506667,160662.493606667,144679.746506667,170512.029406667,193104.307206667,184577.104906667,128387.876906667,150395.569106667,203357.822806667,187524.121206667,143651.319006667,175589.807506667,196592.248506667,155960.027206667,140507.306206667,173826.508706667,168110.563006667,166050.924606667,144174.077306667,158574.164106667,183672.517506667,185606.469906667,135984.998606667,156393.988206667,184802.132206667,148482.677906667,125500.833906667,139791.696606667,176656.573906667,183751.644506667,146675.208106667,165041.357106667,188259.870606667,187560.445106667,118942.510006667,157194.217406667,178354.165706667,153885.055206667,142105.617706667,158724.503406667,162273.843106667,178911.413006667,132101.257206667,169902.874406667,169902.874406667,169902.874406667,0,0,0,0
"Q7M759","Abhd17b","Alpha/beta hydrolase domain-containing protein 17B OS=Mus musculus GN=Abhd17b PE=2 SV=1",30608.58598,145856.92352,197120.76162,174773.62752,163943.97502,140842.76562,161945.99312,181757.61882,156052.56672,177337.09652,190403.47802,185211.03312,139542.29572,150479.80832,203479.19092,191336.38592,170100.87412,181449.85072,209449.76272,177737.89012,159181.73732,170518.78612,171324.60262,161153.92692,154201.61652,156269.64882,186428.25532,189512.29042,173639.81972,162280.96172,190892.13132,165068.40052,144535.64732,136365.68852,186789.54612,179013.94032,182616.43182,160093.61342,204137.61842,200233.77702,142428.92612,165739.80492,189762.30542,181652.48162,160087.23482,184519.00352,185781.25252,196127.45292,160263.39112,163591.39632,163591.39632,163591.39632,0,0,0,0
"Q8VCV1","Abhd17c","Alpha/beta hydrolase domain-containing protein 17C OS=Mus musculus GN=Abhd17c PE=2 SV=2",15101.4662,86337.7816,112900.8625,98010.0353,74141.60442,88409.2949,93523.4697,89722.2404,88178.6263,100502.9285,87710.1489,89708.9006,70691.15268,85858.1047,111901.1422,105087.8084,90304.4785,99325.9088,109297.821,90591.8874,82333.78523,100041.952,100045.2688,93027.4877,90012.5366,82322.79037,96212.9867,108615.8959,80006.49071,96057.3301,94782.2069,88617.7477,70203.43464,77517.43385,101595.8736,91538.2882,87182.6172,88971.9197,99051.5239,110314.2967,67077.10103,94391.303,96511.9955,90512.9576,86141.2358,101647.1644,98369.5866,101020.0327,81369.66238,90075.6571,90075.6571,90075.6571,0,0,0,0
"Q8VD66","Abhd4","Abhydrolase domain-containing protein 4 OS=Mus musculus GN=Abhd4 PE=2 SV=1",31959.5962566667,89776.2668433333,71654.3025433333,60821.6739833333,68673.0807433333,77407.3536433333,79816.0234433333,49415.4674333333,78001.1786433333,68427.7874433333,72951.0671433333,70661.1251433333,106967.420143333,112043.366443333,73322.1284433333,98575.3961433333,68394.8682433333,73529.0884433333,100532.869943333,55782.9521333333,73315.3931433333,85983.8091433333,76430.8849433333,72041.3829433333,85538.5915433333,65441.7958633333,59281.5060533333,61385.4044533333,61645.6497133333,72287.2054433333,54453.6013033333,55790.7241433333,75037.1329433333,129721.969043333,79390.6214433333,72630.9262433333,76490.3491433333,62328.3170533333,74094.0375433333,81863.1982433333,89301.3985433333,92019.1025433333,77828.1088433333,87334.9491433333,76824.6973433333,88342.1405433333,111692.024643333,103653.285843333,82807.3314433333,84425.2077433333,84425.2077433333,84425.2077433333,0,0,0,0
"Q8R2Y0","Abhd6","Monoacylglycerol lipase ABHD6 OS=Mus musculus GN=Abhd6 PE=2 SV=1",21464.7584566667,48742.6136033333,67561.2730633333,65772.7916633333,52805.1752433333,68091.7221933333,70765.5778233333,47252.2797233333,55208.6247133333,61568.9394033333,59736.4182133333,55260.2152833333,51950.1438133333,51557.9917233333,74425.3845133333,74251.7153733333,54700.4750233333,58466.7006633333,76273.3855833333,42515.0401133333,52383.7528433333,58710.3820633333,57418.6277733333,58944.5952833333,51382.6532133333,51374.2644033333,72349.2441633333,66334.6187433333,55684.6261433333,68151.9863033333,63687.4014133333,43670.2238333333,48946.5390533333,61601.8183033333,61857.7767033333,75347.9222533333,47675.1613333333,48859.8899033333,62555.7481033333,74345.0070133333,47491.7435433333,55926.1593433333,63435.4573833333,41566.5180733333,45877.9246933333,54236.8383933333,64571.0699333333,66071.8788133333,45644.2752233333,54573.7713233333,54573.7713233333,54573.7713233333,0,0,0,0
"Q8CBW3","Abi1","Abl interactor 1 OS=Mus musculus GN=Abi1 PE=1 SV=3",16914.1605666667,36460.1418533333,40581.8912433333,19855.6311933333,35270.5151033333,24166.0354033333,19674.1334933333,29606.5262233333,23022.2707533333,21847.4508633333,27974.2121833333,21978.3527233333,42286.6564633333,28004.8265133333,23808.5743533333,25082.3921833333,19451.6494233333,32520.3173133333,25865.5097633333,25200.4590433333,29417.8637733333,32625.5071733333,22493.4035533333,22326.0185633333,21084.8494433333,23656.6511333333,31846.3149133333,22118.5421233333,34804.7654133333,26517.7246133333,35185.0948133333,22787.2460733333,35101.6600233333,41700.1730133333,28450.4912733333,24772.5760833333,17701.4559633333,31479.3934733333,22032.0041033333,25785.8978933333,46935.9742733333,22326.4067933333,18596.2928333333,24103.9846233333,33534.8365333333,26643.4703033333,20746.3900133333,31209.8006433333,39181.3051133333,28023.0770733333,28023.0770733333,28023.0770733333,0,0,0,0
"P62484","Abi2","Abl interactor 2 OS=Mus musculus GN=Abi2 PE=2 SV=1",19564.8537366667,54357.4533133333,63433.9593733333,29420.7006233333,43602.0667533333,37440.9411733333,28644.8061033333,35708.7613233333,29380.4265333333,27949.9411933333,38656.7955233333,35723.2019533333,62609.4299433333,37848.0927133333,35982.6819133333,35230.6425033333,26189.3412933333,47827.7934233333,39703.0280433333,39109.9891033333,43282.9951933333,50256.3761833333,32465.4638433333,33467.8657133333,25552.5781633333,34416.8551833333,50372.0544233333,32981.4672633333,40048.8228233333,37003.3164933333,52304.8809533333,33944.3742733333,49296.0106033333,64841.2254833333,37580.6147933333,34864.5996833333,26098.3704333333,44273.4294033333,35580.8143533333,44109.1017833333,67365.7360933333,32330.0561133333,29324.5550233333,30640.1635433333,52405.8911033333,37961.1124633333,27304.5835033333,48991.0351933333,60653.5714533333,41113.0229233333,41113.0229233333,41113.0229233333,0,0,0,0
"A0A087WRS3","Abi2","Abl interactor 2 OS=Mus musculus GN=Abi2 PE=4 SV=1",19564.8537366667,54357.4533133333,63433.9593733333,29420.7006233333,43602.0667533333,37440.9411733333,28644.8061033333,35708.7613233333,29380.4265333333,27949.9411933333,38656.7955233333,35723.2019533333,62609.4299433333,37848.0927133333,35982.6819133333,35230.6425033333,26189.3412933333,47827.7934233333,39703.0280433333,39109.9891033333,43282.9951933333,50256.3761833333,32465.4638433333,33467.8657133333,25552.5781633333,34416.8551833333,50372.0544233333,32981.4672633333,40048.8228233333,37003.3164933333,52304.8809533333,33944.3742733333,49296.0106033333,64841.2254833333,37580.6147933333,34864.5996833333,26098.3704333333,44273.4294033333,35580.8143533333,44109.1017833333,67365.7360933333,32330.0561133333,29324.5550233333,30640.1635433333,52405.8911033333,37961.1124633333,27304.5835033333,48991.0351933333,60653.5714533333,41113.0229233333,41113.0229233333,41113.0229233333,0,0,0,0
"Q4JIM5","Abl2","Abelson tyrosine-protein kinase 2 OS=Mus musculus GN=Abl2 PE=1 SV=1",8601.25482366667,18537.5443363333,14768.5257863333,10609.8302263333,14883.1906563333,13681.8679363333,12062.4757163333,13570.8955363333,9288.46518633333,11939.0970663333,21712.2930563333,15469.9915863333,22656.3365363333,13725.3261563333,15382.3995363333,16162.4378963333,8133.66575633334,14907.7370963333,14476.6219763333,15860.3886663333,20904.2597363333,15957.6436063333,15450.6970163333,13873.0645663333,11887.1573063333,14909.8156863333,18820.8332063333,16671.7446463333,12337.9549063333,13829.6363063333,18316.3784263333,16973.1885663333,28675.7133063333,21944.8803563333,12632.7126763333,10847.4239963333,16426.9224863333,16067.0914763333,12684.8167163333,14012.2478163333,26076.2554363333,13593.5520163333,15428.9190163333,19145.8794163333,14025.9058063333,15054.3906863333,12289.7190863333,17880.4009763333,14485.2654763333,16511.1243463333,16511.1243463333,16511.1243463333,0,0,0,0
