ProteinAccession,GN,ProteinDescription,b1_s13_M_3,b2_s2_M_3,b2_s10_M_3,b3_s16_M_3,b1_s4_M_6,b2_s15_M_6,b3_s1_M_6,b3_s15_M_6,b1_s9_M_12,b1_s16_M_12,b2_s14_M_12,b3_s9_M_12,b1_s11_M_18,b2_s3_M_18,b2_s9_M_18,b3_s5_M_18,b1_s15_M_24,b2_s5_M_24,b3_s3_M_24,b3_s6_M_24,b1_s1_M_30,b1_s2_M_30,b2_s13_M_30,b3_s7_M_30,b1_s12_F_3,b2_s7_F_3,b2_s16_F_3,b3_s14_F_3,b1_s5_F_6,b2_s11_F_6,b3_s10_F_6,b3_s13_F_6,b1_s6_F_12,b1_s8_F_12,b2_s6_F_12,b3_s4_F_12,b1_s14_F_18,b2_s1_F_18,b2_s4_F_18,b3_s8_F_18,b1_s3_F_24,b2_s12_F_24,b3_s2_F_24,b3_s11_F_24,b1_s7_F_30,b1_s10_F_30,b2_s8_F_30,b3_s12_F_30
Q9DCN2,Cyb5r3,NADH-cytochrome b5 reductase 3 OS=Mus musculus GN=Cyb5r3 PE=1 SV=3,212008.3531,200809.1228,249950.0527,188638.3683,182087.9855,262532.9275,169535.9564,246119.2736,186681.0511,261449.0344,210075.1879,209050.7266,238370.486,241574.595,231212.6788,222832.5485,243018.1429,265145.4765,193981.0654,212488.545,223307.3472,207448.0911,207361.5855,229969.4538,171703.5547,196603.6276,179011.4648,171177.2575,176323.9488,179036.3078,142004.8476,168580.4574,221559.8963,185859.9295,223118.9916,173353.6605,185527.7082,171710.7445,259677.1561,181981.1519,192081.9505,232006.6554,200829.2876,183865.2261,218226.0154,212812.2793,219815.1267,187098.5934
Q7TMB8,Cyfip1,Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1 PE=1 SV=1,113340.7282,144628.2642,65179.27456,114803.8508,83010.97326,65640.14106,96551.93646,69265.82206,60328.68306,99324.56236,84323.15376,141912.5069,74549.39066,78211.84446,71671.22896,63716.80136,107266.6668,92215.23556,103174.2664,124712.2535,81271.67106,79027.36576,72961.90626,58383.60666,74612.78776,87909.68036,70672.23506,104139.65,74059.75556,119024.0287,91820.60266,140501.3397,143607.3116,85178.22016,62283.16496,67680.11286,94191.63416,86075.08366,113116.1602,175294.3145,70263.80296,78381.71816,79934.55046,126149.1934,92012.16656,58260.00556,106694.8255,161301.9084
Q5SQX6,Cyfip2,Cytoplasmic FMR1-interacting protein 2 OS=Mus musculus GN=Cyfip2 PE=1 SV=2,112243.7896,148150.1674,62045.41572,112665.8924,81180.30282,63672.41132,100728.8422,67438.69572,59930.39522,100293.2439,82903.13052,139454.8768,74859.55912,77021.43152,65354.55582,66861.41232,106660.7172,95519.34682,102877.5487,126117.4898,80507.19772,79351.21752,77917.25962,64545.99492,72533.88602,83447.98542,66164.76602,104047.6846,73354.58912,117090.1026,99933.94282,134471.7893,137048.9537,81202.07262,62539.41652,73109.03462,90778.34022,91435.66682,113216.6604,168419.6118,71053.42072,77684.13012,82243.54372,124580.3422,90903.25252,56936.26802,100856.5909,152828.5325
Q9CX80,Cygb,Cytoglobin OS=Mus musculus GN=Cygb PE=2 SV=1,25395.61296,27431.63444,6269.553123,23855.13265,12919.21967,9099.581873,14157.9928,10079.38423,7904.268583,12956.7199,17433.87411,22010.84,15732.08837,18832.24349,15179.27641,3283.902753,22392.17122,22060.66904,20810.18697,24008.48118,21497.16644,11354.42719,10836.13039,8761.715083,7814.738623,22017.78083,9802.641013,14189.09232,14098.61845,26631.41792,14386.02027,13787.05888,30224.64848,13169.81592,7778.314173,9651.226653,17467.33778,14647.47262,19297.83537,19409.38431,9928.401283,13171.72979,9789.523343,25829.72231,13937.20537,10487.59232,22434.58553,32332.37815
Q9DBX6,Cyp2s1,Cytochrome P450 2S1 OS=Mus musculus GN=Cyp2s1 PE=2 SV=1,28620.45463,25400.36178,30238.3175,29999.33939,29734.6371,31617.19097,34519.76141,26787.65585,35187.99493,26502.92576,30880.01709,25912.1684,30979.39855,31831.27871,28447.38837,30695.22517,25095.02992,28170.87393,27982.62373,27755.67334,35997.61637,27881.33171,22721.79547,29333.50621,33247.46081,26967.53423,23632.29491,27886.25915,29390.8616,24636.62119,25413.35276,26384.76749,28187.66722,27929.956,33945.14568,26743.22745,27460.26895,24664.10112,27517.48219,28136.45687,28437.67898,25215.3741,25728.88849,24358.00998,24299.76985,24699.39769,27078.73842,23128.91176
Q9WVK8,Cyp46a1,Cholesterol 24-hydroxylase OS=Mus musculus GN=Cyp46a1 PE=2 SV=1,53950.59309,46546.51516,53816.65956,50528.57591,53150.2359,53985.79832,39886.84942,57602.43152,51432.05628,40525.30216,45082.50335,50846.29381,52470.34856,45621.92867,44039.45162,48624.30354,52710.16565,40719.9938,39164.36894,49938.30461,57273.5774,49251.12526,47885.33191,47954.61191,50213.2306,39909.63703,46101.09222,49190.57293,54256.12274,47271.32974,44109.34127,46691.43577,60879.58657,47903.27247,61415.84531,39034.92362,44757.85988,38345.88016,51704.67128,45858.32812,52084.32707,52119.84768,34239.20117,40735.91694,45709.09267,48432.49563,42886.41422,43769.20337
Q6A152,Cyp4x1,Cytochrome P450 4X1 OS=Mus musculus GN=Cyp4x1 PE=1 SV=1,9639.01446,11080.67409,9825.61481,11549.56273,11428.31223,14442.58706,8798.07735,11362.62696,9712.00995,9638.72471,12599.31031,10966.09916,9781.62095,12662.68504,12511.0222,8146.04942,10612.82432,10983.90783,9295.19432,10798.88777,9985.29703,11024.33802,10954.87831,9715.7449,12433.03414,9388.48078,9531.35296,8402.67126,10327.35607,9605.42126,9632.52273,11982.35413,10433.52805,11947.74795,14856.57327,9299.50993,10213.06332,9633.59632,10861.88694,11593.93654,9130.96997,12574.19884,7973.57926,9556.36277,10713.66195,12088.52653,9877.32257,9274.45539
Q8K0C4,Cyp51a1,Lanosterol 14-alpha demethylase OS=Mus musculus GN=Cyp51a1 PE=2 SV=1,17040.94614,20889.285,24001.25532,24059.34419,14303.1391,28756.60979,20858.7374,23630.99459,21246.63737,14346.56105,24329.09837,20220.21052,16971.15043,24001.16114,22670.274,20443.37021,14542.63666,26930.03738,18100.15691,20166.76873,22366.57794,18212.71061,20557.7177,24461.11603,15579.00533,20313.3086,21057.7715,21709.91349,15857.54597,18069.57011,21547.03455,21352.02223,18650.55093,10294.86327,27821.39511,18082.8536,11625.68743,19931.86953,21326.7404,18119.3033,16393.14793,20255.38415,16168.32931,18390.84568,12208.8714,15961.17946,22781.50934,15194.4656
Q8K353,Cystm1,Cysteine-rich and transmembrane domain-containing protein 1 OS=Mus musculus GN=Cystm1 PE=2 SV=1,41609.22431,71509.93422,78693.77735,60219.9133,40527.01156,66515.99499,70893.19225,58763.44313,61445.70485,70790.16357,80152.74658,49603.29238,41493.23451,74960.02217,74861.03988,75217.48392,50924.73109,75399.89184,70215.25526,60394.41816,44642.90385,48411.25961,69364.22497,56184.52789,36775.67661,76152.73633,82952.49948,59281.90312,47847.14822,68852.6753,58735.50058,54807.0567,33079.93365,53322.86389,67515.20921,73824.6914,45764.38521,74261.07097,85506.09737,51684.17349,46978.91895,77463.51266,72511.33243,63531.78908,56067.34067,64091.36393,66474.7069,56199.83987
Q9QX11,Cyth1,Cytohesin-1 OS=Mus musculus GN=Cyth1 PE=1 SV=2,23320.78459,36739.69312,20305.16279,27716.83214,18381.34936,21199.59787,19079.1594,21778.63698,21603.47285,18188.69486,26598.21782,27015.57343,32518.47784,20072.97375,17355.61798,12928.90508,20978.5768,17006.04479,16910.86052,18777.03046,20688.20671,15173.32758,12948.09591,17000.97016,17023.50886,17728.37828,17935.64459,15647.81601,23414.46238,23471.33199,20617.07723,37240.44353,28105.99047,23296.33276,22500.39806,14842.73553,18005.86223,18056.66764,18295.57283,41237.55158,16466.66998,11610.83498,15608.81257,19434.52985,25312.09789,17373.49867,20209.41132,26655.22703
P63034,Cyth2,Cytohesin-2 OS=Mus musculus GN=Cyth2 PE=1 SV=2,21339.72307,36399.42423,19920.79269,21074.45843,17600.25426,17954.39342,15546.49848,19485.01933,22824.84953,14416.55255,25814.47721,19684.89436,29518.36646,21379.98123,16969.76059,9604.850715,19488.41848,19434.10929,16219.59601,14073.01528,20143.95526,18196.95527,14224.09727,11061.55858,14719.62701,22938.4453,19833.61776,12170.36467,20385.03391,27117.57455,15383.56351,29461.46121,26763.4122,20423.85321,25784.34493,11862.57146,17469.51987,21459.53302,26897.11299,32581.43984,16750.37677,16987.14755,14654.95214,14280.42449,22745.7381,15648.70866,26231.75222,23134.85801
O08967,Cyth3,Cytohesin-3 OS=Mus musculus GN=Cyth3 PE=1 SV=1,24746.80008,45913.89497,26470.67725,18844.81657,23329.87475,20566.92624,17112.61452,20792.61928,23108.98036,23023.13751,28639.66112,26406.57295,35830.87978,21704.26857,20283.23507,13441.08198,27849.91373,21554.93779,13837.18785,18515.27263,21794.19228,21285.59574,13581.32666,20266.81189,18891.34328,21400.96384,20007.13137,15496.84309,28717.09678,28276.94061,13689.32494,37246.7449,34841.63636,29670.82592,26875.01462,15408.51091,26978.6206,27062.69524,24301.32161,45553.01949,21329.59686,11794.94414,18917.86955,20111.63423,26209.12078,23229.49359,22442.15158,28426.89066
Q9Z1R4,D17h6s53e,Uncharacterized protein C6orf47 homolog OS=Mus musculus GN=D17h6s53e PE=2 SV=1,59082.9765,70778.98593,75704.77197,71869.83165,52953.59127,74848.37053,89823.50083,68689.37388,61634.22168,63406.38605,74640.05874,62008.18418,59823.93803,69359.82511,74953.38703,72108.61496,59659.99535,84762.83363,72954.29393,66720.88495,63789.11288,52320.46872,64384.8119,78281.97575,62702.38299,76924.51523,77727.86138,71947.51243,54049.25478,61359.07813,72284.6173,56288.54061,51033.44279,52444.55133,72320.96202,77848.92596,59609.11635,81084.74868,76518.35517,56208.18074,51243.94985,66338.24558,68004.45256,60564.90659,53185.61535,60546.52257,67788.41838,53880.98294
Q9CPT4,D17Wsu104e,UPF0556 protein C19orf10 homolog OS=Mus musculus GN=D17Wsu104e PE=2 SV=1,22467.46988,57986.56755,54205.96599,59770.94496,51613.24238,60131.90251,57625.7808,51414.17125,43534.29504,55562.13078,64285.69926,25550.62974,29892.94846,68020.10196,57988.91072,44729.95971,29539.46262,67479.60692,49121.93662,39119.56221,31848.68953,36286.72705,51283.4411,45771.15837,46248.27222,58874.5836,61759.15304,47730.72706,34321.8918,52058.68712,42190.61588,39240.10526,31809.32741,42261.34228,71715.06416,52216.62542,38731.89024,77194.41465,61000.55739,40171.82698,35492.49505,59429.04185,36848.86289,45424.41439,31626.99545,50497.37583,59221.77627,36935.60509
D6RCI5,D230025D16Rik,Protein D230025D16Rik OS=Mus musculus GN=D230025D16Rik PE=4 SV=1,74732.72587,95528.87034,54492.55398,55590.9023,59368.68937,91254.7317,51942.42584,100450.7378,49482.79908,66695.94021,55911.72461,80985.7734,71675.28811,55073.02002,43328.02447,56684.86816,49482.89454,51487.50163,51456.31617,63622.09823,44039.9297,47866.50055,62005.04026,76436.74444,42168.48063,57472.79231,48654.04363,63789.50564,56545.95844,46211.58822,54105.98499,62611.32592,62871.17558,55766.17418,51891.87156,50754.4192,45839.74824,36059.7594,53772.7875,58836.7186,51220.81132,74333.28574,58282.49181,47853.58852,44528.73407,50173.20452,48789.83764,61460.90656
F6ZGR6,D430041D05Rik,Protein D430041D05Rik (Fragment) OS=Mus musculus GN=D430041D05Rik PE=1 SV=1,14787.94684,15971.06921,17182.0424,14859.76115,17884.44427,16646.07125,14330.06347,19272.32945,16569.85862,15378.88287,16468.52501,17780.03382,16937.93699,14205.06457,16745.4101,14741.35774,18068.18159,16488.09825,14189.56058,13824.07648,20526.40222,16164.92209,19234.30101,14947.9677,17545.30745,16017.30071,16234.39261,13495.15509,11990.3337,15902.30926,18101.44958,17237.1635,14659.33602,14722.01529,15497.32061,11646.31368,14158.36349,18922.66833,16580.07482,18210.32607,17257.12152,16316.5654,13619.39504,18228.32929,15150.49182,14088.03939,12820.76436,16652.87668
D3YTS3,D630045J12Rik,Protein D630045J12Rik OS=Mus musculus GN=D630045J12Rik PE=1 SV=1,12063.6259,13861.7532,22476.89014,13121.71332,11380.59612,18974.75517,20613.48428,15774.40146,15376.8095,12152.03629,16275.06868,15651.37367,11854.5978,17749.71411,14313.5097,20517.63092,16340.11126,15796.54371,18207.43002,14784.77048,15723.22925,14240.55109,17344.39404,14879.00089,18136.87764,13846.10551,20656.30066,12981.47903,16441.50045,17104.83844,19352.32961,11765.4486,13207.80036,17212.0404,17776.84866,15090.19522,15716.82812,14306.98908,17372.77138,15884.55713,14499.41232,17575.08917,17249.77654,15364.33011,13788.99803,14066.06466,14229.21171,14924.08141
