ProteinAccession,GN,ProteinDescription,b1_s13_M_3,b2_s2_M_3,b2_s10_M_3,b3_s16_M_3,b1_s4_M_6,b2_s15_M_6,b3_s1_M_6,b3_s15_M_6,b1_s9_M_12,b1_s16_M_12,b2_s14_M_12,b3_s9_M_12,b1_s11_M_18,b2_s3_M_18,b2_s9_M_18,b3_s5_M_18,b1_s15_M_24,b2_s5_M_24,b3_s3_M_24,b3_s6_M_24,b1_s1_M_30,b1_s2_M_30,b2_s13_M_30,b3_s7_M_30,b1_s12_F_3,b2_s7_F_3,b2_s16_F_3,b3_s14_F_3,b1_s5_F_6,b2_s11_F_6,b3_s10_F_6,b3_s13_F_6,b1_s6_F_12,b1_s8_F_12,b2_s6_F_12,b3_s4_F_12,b1_s14_F_18,b2_s1_F_18,b2_s4_F_18,b3_s8_F_18,b1_s3_F_24,b2_s12_F_24,b3_s2_F_24,b3_s11_F_24,b1_s7_F_30,b1_s10_F_30,b2_s8_F_30,b3_s12_F_30
Q922Q1,Marc2,Mitochondrial amidoxime reducing component 2 OS=Mus musculus GN=Marc2 PE=1 SV=1,107684.7873,122029.6198,180865.7061,108540.9092,179970.8699,139150.9911,122446.8274,130073.9957,167230.1022,153650.4849,138485.6502,94931.15294,156440.8983,171193.5241,149998.9882,161070.6818,199007.7321,157215.0421,149378.7097,127588.371,189013.5817,197982.1467,130606.1523,140984.0087,133446.4295,112495.3402,133376.1835,108910.7868,144126.9871,120444.1905,93396.79444,98014.98564,125602.8127,157439.0241,136425.4786,107899.6739,154703.5371,120376.1528,138020.5674,99076.20704,180412.9928,133437.2008,137862.0693,126726.5679,200554.2918,165767.2736,146756.3283,117919.0263
P42208,Sept2,Septin-2 OS=Mus musculus GN=Sept2 PE=1 SV=2,21213.91511,19297.80915,18362.75496,17387.22521,13745.49897,14042.42507,16608.93305,13300.20297,14408.98751,18382.17485,12290.02119,12851.98885,14729.79048,16149.25438,17343.83673,16998.69724,20812.66743,17115.85331,15649.13452,16978.4581,18393.1059,13201.38236,17622.19395,13258.22782,16763.23679,15897.66455,17719.6287,16584.89978,16889.36854,15390.49199,15350.18278,14176.61268,20751.10304,24204.53803,15491.22821,12746.43329,18734.45781,14273.22126,17007.54588,15057.99011,13255.49369,17354.51926,12120.10893,15817.72842,17357.40475,15518.70372,19391.31731,17084.47782
Q9Z1S5,Sept3,Neuronal-specific septin-3 OS=Mus musculus GN=Sept3 PE=1 SV=2,144154.2448,188270.4457,174132.1665,136847.3842,155334.7116,168477.1392,182864.082,135349.0834,198378.531,128123.3065,140526.7072,137837.9702,145535.0944,135236.7256,133723.3505,208581.238,177633.687,123902.3042,138935.152,111759.9786,149922.1504,136852.3289,146833.3842,165374.7279,141104.3448,160263.1178,163141.9685,146646.9177,180798.2667,137540.2968,126158.3083,136516.8361,144203.6389,182085.0338,155262.5121,124902.2416,143301.6625,142462.8288,151335.5686,143007.0703,142230.3835,123906.8417,112199.9233,135642.7551,153017.4593,150041.9999,129204.8012,154746.7381
P28661,Sept4,Septin-4 OS=Mus musculus GN=Sept4 PE=1 SV=1,92606.73035,87482.12065,100624.8664,79626.77405,78643.80095,88203.55535,88586.68245,76383.49025,95498.87095,70850.33873,70762.37617,90859.16015,88567.69055,74080.31185,87813.87055,96028.29875,84934.14755,72634.80065,72194.67805,71921.00535,94868.82205,76760.72615,82214.11695,92904.17055,86376.58135,79204.80645,76529.39475,80572.93405,84413.57695,76950.11585,66374.22031,74557.41425,93323.83475,97456.45185,95336.88305,68772.90182,83145.34325,72021.30795,74412.54205,82095.43485,73855.17115,79405.84905,72729.13725,74524.53835,89819.08845,89793.00965,89797.53085,83544.68755
Q9Z2Q6,Sept5,Septin-5 OS=Mus musculus GN=Sept5 PE=1 SV=2,357190.7346,472402.0142,433446.7118,343387.0726,331053.6595,387852.2883,403821.9257,338566.6987,379053.5977,315424.6648,332838.1007,335498.6342,357355.2483,324058.6086,296800.4699,483385.8254,380725.6238,286101.0882,336110.5348,271489.5644,342867.8053,312177.6208,306188.4151,395540.7436,354751.7547,387729.92,395381.4012,348597.1014,365987.6094,316017.4062,295990.9453,335468.2802,339276.9377,405563.777,364103.9247,270288.8444,343329.275,316081.1372,377122.3438,338494.9825,311946.8898,286874.6105,273699.5243,335154.1109,340019.5775,312133.23,304922.7429,360760.334
Q9R1T4,Sept6,Septin-6 OS=Mus musculus GN=Sept6 PE=1 SV=4,114819.6632,132892.3233,121048.1683,102341.5317,101508.754,115536.6117,133090.1553,101732.0775,123798.4979,90727.62897,101938.6721,106977.132,113838.0883,100311.9265,93641.71137,150845.1073,123825.6393,87130.82337,103105.3247,89986.55187,99443.08837,84862.15697,103642.7058,122066.0841,119350.4646,111078.4333,111583.9341,110210.0222,109335.8857,104341.641,100304.0344,105125.0072,109710.8317,126714.5079,115751.5889,90710.05697,111378.2377,97985.41517,111363.8982,111643.956,92246.12977,90540.84417,88227.03857,107921.8326,99928.94057,102059.6616,94877.20367,122899.8817
O55131,Sept7,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1,445019.0564,540708.1161,510057.1003,414037.1038,398941.8889,470712.0541,489991.5339,389770.1619,495533.4606,373970.8699,397260.3831,383683.6021,452579.7135,389774.8977,372518.101,560057.5682,486754.5789,355196.3986,381347.3004,304818.2946,421436.8944,358930.8527,399797.4251,485600.6458,466850.2694,461830.3781,470483.8975,404060.9566,436689.3651,386988.4662,347849.1716,378239.1879,398732.2962,486801.5089,435763.8704,313509.316,425174.2222,418794.4873,434319.4682,395449.3952,367602.1624,372422.9676,332860.9994,382051.5894,411939.6549,392914.3981,369100.5717,428227.6549
Q8CHH9,Sept8,Septin-8 OS=Mus musculus GN=Sept8 PE=1 SV=4,221714.9056,257300.8861,240349.8204,196055.2766,233793.8096,237214.3208,252077.8484,212710.0449,281386.4387,169646.7882,200533.2591,202531.5664,247505.2638,184225.3171,175188.9053,317811.3184,272929.0701,148697.7451,198177.2117,158434.5647,225099.2852,207060.0022,200926.6393,250722.5993,247060.9958,213314.4477,217983.6012,208777.8994,254398.9524,185914.3941,180408.4807,196613.6848,224398.0655,285421.6642,235740.7978,162894.2343,225780.5563,180863.4276,201187.1866,198350.1911,217382.1237,180422.5165,162674.5721,204596.3011,229135.2003,219200.7034,186879.7775,235665.8822
Q80UG5,Sept9,Septin-9 OS=Mus musculus GN=Sept9 PE=1 SV=1,35476.00128,34730.61494,32038.26738,35253.65604,32686.32619,31564.29985,35569.54067,30152.96082,34810.57604,31539.51408,29454.16176,33742.97934,33816.67612,30794.13332,28890.35203,42076.49208,39247.52358,26701.33452,33141.99946,31960.56649,41513.17806,33030.21276,29528.76243,38595.18125,32731.62194,30532.80587,30848.11955,33391.78751,33213.54025,31126.59481,31343.51077,35051.32714,33216.63467,36952.77636,31011.35302,29750.05188,35273.67848,30063.25957,30365.37563,37407.12911,29220.86136,27247.87906,29818.74439,36627.39363,35001.36627,32827.87935,32556.19458,41275.31315
Q8C1B7,Sept11,Septin-11 OS=Mus musculus GN=Sept11 PE=1 SV=4,162306.2075,201285.7631,180402.2852,153982.0415,177057.2447,171116.8435,192936.7174,152863.2307,193711.8262,124233.0971,145956.9862,153609.4687,169961.2058,144800.1966,140707.112,226169.1876,189979.7494,128490.7472,147646.1284,127185.0557,165282.1673,151291.2471,150531.6353,179474.1144,173428.7996,165520.6549,164696.7497,166878.8612,188988.4698,152803.3132,145808.2787,150137.6465,167611.4645,192924.8206,167907.9887,133388.6974,160851.6055,148691.4713,165047.7598,164630.9439,163844.2756,132234.3583,125536.5232,155380.2804,155289.6083,158924.4507,141667.3979,181573.3465
D3YUR8,0610007P14Rik,Protein 0610007P14Rik (Fragment) OS=Mus musculus GN=0610007P14Rik PE=4 SV=1,58605.32109,73808.22721,102747.7835,51136.55488,63278.7452,80136.38362,69988.00546,57704.4263,82837.17007,83479.54235,38187.02722,44618.33557,88943.31506,85742.7519,76572.73018,64864.24974,68644.56065,78642.11805,60156.58271,53499.53698,41994.81036,55261.67992,79187.08918,57891.72764,74929.71279,77048.06173,74283.61389,58839.79728,59010.53803,61119.43442,45790.37797,47569.13471,82129.00597,73549.14328,84064.80866,53501.43905,71194.34441,65238.72045,116183.6664,53365.34123,62184.19488,90252.64816,58492.71196,49542.54323,44390.03378,84592.45612,93169.90556,45065.59371
Q9D937,1810009A15Rik,MCG127334 OS=Mus musculus GN=1810009A15Rik PE=2 SV=1,25561.3213,19531.44533,29342.52549,15687.07168,24463.37846,23815.33883,13405.88237,16020.4105,23937.78857,23956.05611,17890.28692,18380.83455,29093.64249,22399.59301,29580.15266,22767.27409,25200.80221,17412.06627,16534.64081,17584.97387,29379.60922,30834.90813,14243.34577,14004.04493,22755.46083,18976.10513,18798.51897,15312.14402,22759.49428,23760.34212,20052.75049,22653.21366,35371.54603,25253.93756,22753.32735,20320.0394,26302.24709,20626.60967,20270.25158,18287.95868,28022.21379,24423.08073,27185.08694,24452.87195,25197.85597,32377.96296,24785.61481,18823.33058
E9Q3M9,2010300C02Rik,Protein 2010300C02Rik OS=Mus musculus GN=2010300C02Rik PE=1 SV=1,1931289.449,1874688.997,964303.3392,2111495.51,2742998.448,952838.2802,1659867.81,630050.5742,1323513.155,2731189.412,2417389.16,3269173.098,1562776.62,2465580.466,1395881.749,822370.5912,806793.3212,1373172.205,1533836.709,3118038.184,1035175.833,2190700.443,1954107.846,1211814.826,1367001.555,2726144.268,1407756.152,1519014.955,1830188.648,2567329.765,1514489.693,3612639.182,3056644.018,1674499.323,930133.1672,1049847.237,1624354.065,1067179.622,1159610.035,5423796.358,2000554.797,2055721.618,1391936.323,1050997.691,2068850.909,1805043.083,1082102.896,2089541.205
D3Z3S8,2900011O08Rik,Protein 2900011O08Rik (Fragment) OS=Mus musculus GN=2900011O08Rik PE=4 SV=1,110365.7157,172000.619,134476.674,121007.4247,109930.13,134354.4718,143382.1123,114068.2031,136971.3281,132913.1017,137180.1728,92799.79635,105463.2171,168473.2687,147790.8745,119070.8789,123737.9691,171994.3141,137135.6199,110422.0086,101658.0485,117025.5677,129737.3448,126322.7802,110484.3336,153595.6601,172069.4701,120295.2645,118023.9473,139978.5562,128300.4654,103806.2774,90693.64565,132462.9361,137140.2346,145472.4641,119305.0087,209013.5824,165426.4775,98392.92245,116071.1967,138031.9334,151900.0131,127146.1507,128455.2161,138137.3524,158456.8004,109956.6575
Q3U3D8,3110043O21Rik,"MCG141727, isoform CRA_a OS=Mus musculus GN=3110043O21Rik PE=2 SV=1",1736484.045,1477074.987,1428362.039,1256089.077,1725008.329,1515697.143,1464338.171,1675040.799,1569739.534,1128620.116,1368495.614,1600410.715,1879494.912,1412762.538,1500162.634,1319159.195,1528160.041,1248719.385,1170079.26,1332782.209,1508760.454,1580196.797,1503423.252,1238048.876,1617860.432,1313921.598,1488177.704,1397544.015,1791886.1,1403011.607,1332909.588,1279821.198,1745825.611,1613721.412,1677420.126,1403976.874,1313328.135,1456323.197,1423415.528,1217463.288,1445581.418,1556412.232,1070171.392,1327686.147,1240056.984,1599203.482,1322641.837,1223670.706
D3Z566,3632451O06Rik,Protein 3632451O06Rik OS=Mus musculus GN=3632451O06Rik PE=4 SV=1,23785.13748,32318.92984,34950.60203,59120.90572,40785.74204,46164.90143,33406.25481,32255.10054,27362.52192,69024.70963,64442.5199,27435.27958,27578.91614,63274.88369,42517.98421,37846.20447,21810.50347,42690.41663,48663.09074,47970.8878,43703.11579,39110.8499,78089.10487,38926.56977,34516.29488,72116.6986,54148.46273,47959.62429,31888.84749,38831.71319,26192.677,50900.575,20758.74905,36267.59668,63729.71627,47525.87519,65305.43604,40402.42298,40755.63146,45772.50303,29286.51808,73274.46043,35413.07785,56133.42861,19138.5305,35790.55473,33605.45139,37301.61902
D3Z5T8,4930407I10Rik,Protein 4930407I10Rik OS=Mus musculus GN=4930407I10Rik PE=4 SV=2,18655.49232,6994.303017,8792.357797,15612.09434,6182.058877,16355.31214,13230.8959,14689.06234,5407.545097,15348.74292,8845.333907,19734.4369,14605.78845,5677.933907,10742.62149,9583.896177,5558.793577,7537.844197,11926.15991,15304.12676,4489.503817,4289.710587,13858.84823,12656.53948,8668.195887,13205.94037,4098.728977,17675.63831,7844.370647,14930.08366,15359.17157,20374.838,33301.88255,9794.292517,8365.751557,10004.4671,2990.721307,3294.914677,6594.377697,32769.81452,2541.681857,13120.6729,11508.28494,18251.68551,9350.775177,12139.86137,8892.562727,24644.21193
F6RPM4,4932438A13Rik,Protein 4932438A13Rik (Fragment) OS=Mus musculus GN=4932438A13Rik PE=1 SV=1,56991.39196,52821.81862,59240.18986,62878.91357,59131.68717,69232.63357,59108.06943,69960.33314,67869.43301,64707.24985,68208.18629,59499.41191,61884.28712,61267.67687,59541.14905,65207.99764,61237.06361,53037.90834,72216.00318,63651.99308,68319.72359,67651.8187,59311.94733,72545.49117,61631.37028,60296.36631,63499.40616,71535.28116,69759.03225,57734.85439,65789.34711,58455.25628,49241.45052,64898.32222,61532.11264,65600.30268,67818.06585,53086.92178,58624.87011,57078.6042,67291.87616,61299.9296,66075.48106,64162.39928,67981.18612,63090.49368,59462.99457,60806.87226
H7BX33,4933434E20Rik,Protein 4933434E20Rik OS=Mus musculus GN=4933434E20Rik PE=4 SV=1,38917.02992,49043.72148,46432.34838,33692.96472,33679.67179,45027.3775,40557.865,33053.4394,44818.47806,50036.71368,46616.03263,30098.04367,37698.21977,53072.10662,49443.32165,33328.16766,45246.7852,49074.65085,39102.72168,32350.45398,41943.26429,43470.89684,41469.88528,36220.06439,42872.97764,48165.22824,47681.35936,35125.46674,44217.81774,43611.43238,34226.72998,31572.12549,34558.54238,47926.26834,43007.33784,37619.60199,42055.8851,50447.5097,43784.62223,31823.58345,40861.42374,47747.80253,40043.39983,35285.30083,41817.46797,41720.72086,39322.38099,27476.51004
B1APX2,5031439G07Rik,Protein 5031439G07Rik OS=Mus musculus GN=5031439G07Rik PE=1 SV=1,54858.53094,55707.94346,63458.06412,52560.64099,56486.69914,62715.26305,63172.5069,59060.90703,58367.59955,45648.14436,66150.57001,47523.28722,71093.50504,61417.79844,59488.31811,63008.29576,75038.14862,62808.53982,66605.87066,56179.60449,65024.92222,64989.73321,63761.79897,72152.01038,61110.79431,55495.30941,60910.22436,53600.80147,57202.01697,62817.34749,65295.76403,48014.5178,43038.03825,59383.49126,65721.3977,64778.83496,66064.09218,56980.70213,62673.26744,54121.8135,63302.35434,64106.71642,61989.48664,66188.16572,71251.02472,75994.00232,93880.65999,68055.86332
J3KMQ6,5730455P16Rik,Protein 5730455P16Rik OS=Mus musculus GN=5730455P16Rik PE=4 SV=1,56970.42498,34281.56157,36701.11751,59115.10326,47544.12319,50776.85471,43749.49215,63479.24656,58860.78205,46062.94697,44698.5013,65898.3899,64229.58296,43331.25147,54694.97259,34481.34688,47853.24815,47850.13351,44242.26135,49581.70404,60581.34332,47300.9954,42705.51893,48729.94641,49325.88037,42235.08467,46623.05308,48451.68351,48663.89256,51047.21887,54509.78149,56321.36862,83493.32164,55941.41334,62826.9549,53082.93441,54183.57619,56813.93567,48099.67098,60168.40355,49580.5387,50525.1804,46729.25874,51640.87029,45005.31245,58681.28367,65180.08947,40672.26616
J3QP43,6330403A02Rik,Protein 6330403A02Rik OS=Mus musculus GN=6330403A02Rik PE=4 SV=1,33387.87872,53344.69566,39770.00938,35731.01945,30377.50465,38110.13816,39661.68506,38291.42183,36185.93761,42900.70451,39763.82472,33217.58728,32779.74416,48148.74961,44677.64594,44807.86671,39908.98543,54663.40711,48229.78654,38031.95203,39561.41936,33197.48926,42923.0572,39746.15094,29846.08652,41845.1364,42599.98946,37438.22484,29742.61112,41801.39803,36976.81179,34399.70664,29353.53404,37462.6584,39301.20057,43871.40637,33429.20127,46957.32756,51987.49695,33616.12181,33462.08027,46201.54735,51522.28061,41790.27533,31763.9001,37284.02635,45515.84684,37886.1948
Q3TA40,6430548M08Rik,Protein 6430548M08Rik OS=Mus musculus GN=6430548M08Rik PE=2 SV=1,266114.5297,254646.2301,178223.8144,218376.7084,192818.5337,175621.2054,215001.32,202600.6349,191251.8948,231223.5767,205182.8926,270453.5098,220329.3976,189470.4763,228851.9963,172129.8637,210762.2268,234894.7705,198897.1488,212677.5224,226334.4718,207962.9994,197991.442,173745.6189,173928.3685,244179.9975,167674.9918,225606.877,200463.0019,204908.1415,199194.9375,218834.1438,275668.7018,212507.0203,215083.0221,215778.0522,222332.4453,207500.4589,228202.3746,271552.0638,163074.9247,194197.9348,191090.9648,249125.5719,179654.4529,212060.3066,258038.6643,242450.5464
Q0VAW6,8030462N17Rik,Protein 8030462N17Rik OS=Mus musculus GN=8030462N17Rik PE=2 SV=1,4009.043878,11149.20879,10324.97828,7596.160663,3269.488207,7912.708813,9846.175043,8257.574083,3518.022013,8559.711333,10057.43798,9417.387633,6179.396573,12163.13026,17148.51756,9008.148793,5578.749843,21728.39028,11730.66447,19210.64315,9208.981843,9459.613233,9160.992053,11245.31961,5287.878643,10769.09473,8978.746383,11699.96017,5254.533353,8631.703113,16435.33904,8443.984883,5671.085153,10067.32873,10693.73402,18279.51113,8120.470013,14781.08965,12605.71442,11430.10955,5109.223613,10471.44618,14098.12577,14102.01434,7374.383373,7717.540223,12763.2601,8301.132073
I1E4X5,9030624J02Rik,Protein 9030624J02Rik OS=Mus musculus GN=9030624J02Rik PE=4 SV=1,7838.039813,10780.68082,2861.561063,11811.62768,7606.995643,11259.37449,7553.158333,17280.58119,7626.343143,7472.038133,6286.480303,33842.55632,5340.700523,5312.710143,5515.290903,5657.421083,6415.758673,6681.038213,6690.655253,17448.9093,5689.919733,8053.353413,9403.634653,9853.566573,3786.083293,1289.759723,5691.661453,13712.10182,5125.410773,11075.3264,7123.412853,20514.68047,10960.95623,4475.465533,10316.43691,3093.558553,5129.492433,15066.25376,8672.552273,22623.80275,8896.411193,6858.640953,3063.626713,13511.38795,4797.254483,2984.700273,11649.76177,21622.8608
E9PUJ3,9330182L06Rik,Protein 9330182L06Rik OS=Mus musculus GN=9330182L06Rik PE=4 SV=1,23905.04537,33165.39091,26985.81002,39358.12372,27046.16026,39205.47432,37192.32015,33566.57453,34247.1048,35132.8684,35351.89527,30972.59994,25922.9491,42515.91883,29866.60533,31625.75268,27129.79383,34509.18397,42324.70892,38534.48715,26261.9817,29424.94988,38128.05224,44769.06573,34138.25937,33658.0046,40129.52906,33773.36307,24563.91441,36834.77051,43074.0104,34333.29577,22598.70035,22165.24844,38090.09042,38460.82898,28218.06656,48685.74869,35303.9677,37038.06624,30454.14282,35298.26777,35694.75765,31714.16382,23525.60893,25917.36618,33470.20376,30058.8348
G3X9V7,A830010M20Rik,"MCG19133, isoform CRA_b OS=Mus musculus GN=A830010M20Rik PE=4 SV=1",37297.21628,33028.43906,43966.42074,37589.41975,34885.34934,37493.96802,29495.77252,34860.63973,25611.96434,36554.82847,39498.45756,71154.60184,34948.06606,33016.33818,30716.78429,44175.95019,31329.51523,26319.15299,32477.62281,38362.40419,30888.06366,30637.02351,33784.44574,35376.48768,35380.11652,36907.92867,33818.90157,34306.10343,28623.0521,35045.10585,36974.18477,66095.08394,59503.69245,31692.00589,27542.60881,30337.29399,32310.29268,31739.18407,29313.27145,70406.20734,33620.09168,36403.23714,33663.19879,33727.4114,34311.35825,24691.46584,33450.61931,35305.14518
Q3UHJ0,Aak1,AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2,490553.9862,354912.5739,51326.32353,395740.3458,263522.9584,166977.1495,195676.9249,250389.8291,138542.7109,293403.5308,251029.0282,695013.8243,366889.239,145669.9325,161798.0197,53621.73213,233439.9381,170203.4953,190707.3988,304490.4326,247069.2247,169733.5239,199736.5247,242080.9556,188100.5046,235374.3724,151155.8126,277731.0949,256543.8376,317039.2908,201864.685,456153.8604,638677.2542,175846.1594,170164.9693,111811.5399,228788.3245,189547.6798,222579.7585,701483.0866,147037.1694,199376.4529,127034.8105,291453.2608,287245.7407,144167.0776,243661.8831,418375.1111
Q8BGQ7,Aars,"Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1",30375.05428,44466.58567,3641.436873,25253.75932,17220.30688,283.7984533,17999.44618,708.8856233,4505.833103,14278.29374,17828.61361,12124.67247,992.5844633,11690.85409,7732.340103,3084.121523,23006.93857,29493.93478,29612.1986,42615.9839,22743.58727,16772.18794,14933.38333,5710.859003,10632.68545,21911.90923,8599.773193,27459.68366,23012.39783,40605.21891,34766.73689,7762.463013,10833.70584,16407.50728,6314.402473,12048.01171,24546.3335,17617.30096,20243.36771,21138.14845,13792.76598,8123.226893,18179.43501,29250.54966,29222.16727,9100.812723,17836.97919,68483.1234
Q80YE4,Aatk,Serine/threonine-protein kinase LMTK1 OS=Mus musculus GN=Aatk PE=1 SV=1,55153.74115,60235.21852,58865.7387,69925.79747,82031.2099,77202.78684,71303.92066,66947.10096,66292.39508,88291.85704,89945.47464,68828.50911,62704.63018,81439.69905,63239.49753,65037.93872,61091.92935,66723.19728,84193.76453,84190.20406,67892.83341,75345.93733,86680.74454,80151.62802,70060.45961,87057.50734,73664.10801,68510.10616,70793.22531,75885.623,73489.91033,77334.93271,56865.13875,72619.74318,74718.74831,77275.73764,82232.11696,69562.24591,62088.13903,81923.54102,83003.39574,81636.88786,88161.10574,70933.01472,63140.48595,71770.95668,63543.74388,64513.20424
P41233,Abca1,ATP-binding cassette sub-family A member 1 OS=Mus musculus GN=Abca1 PE=1 SV=4,37793.01654,19441.84446,31046.4274,47741.43669,45262.37579,44413.59366,45457.96271,35551.2568,65312.11194,48990.83066,59280.18695,34356.63027,46275.86743,45815.91405,42244.96039,44336.78395,38960.7501,34499.62693,53067.24374,39325.60452,45912.71345,64132.04988,49787.19327,46256.38731,51491.7896,34981.33818,49414.0037,40823.47475,46787.73061,48863.36308,47979.36651,31521.75108,35876.05247,33927.13651,41076.34746,38778.59022,54815.67174,42241.04093,27736.93848,38666.05419,50619.25752,48619.48149,37755.16319,39122.77719,43317.12317,47745.58857,34805.89873,32001.91786
E9PX95,Abca17,Protein Abca17 OS=Mus musculus GN=Abca17 PE=3 SV=1,28320.80502,24156.7844,28366.80013,26791.7378,30110.19623,33033.9476,27610.55242,30281.10986,25804.70196,28031.08884,29770.19254,26119.99275,26165.08599,26582.63793,28847.93978,25975.07823,33018.16995,24160.89366,27858.88129,31420.69764,25124.10912,31341.59443,29660.82539,29675.52863,34299.45144,26349.86134,28431.74815,30458.8855,29309.16483,25399.1717,28339.88781,27374.84574,22663.18841,26633.56761,28379.20863,30262.57072,30137.9317,23102.87862,28619.37376,23895.24109,29969.42643,32237.6574,29233.45714,32707.68971,29632.36626,27032.73948,24743.92271,27430.6391
P41234,Abca2,ATP-binding cassette sub-family A member 2 OS=Mus musculus GN=Abca2 PE=1 SV=4,161826.0076,176307.1733,205352.375,213579.215,229746.6986,263155.022,234725.8666,205794.7102,289884.6585,228492.4364,262377.1073,186199.329,201837.4813,248318.4963,219415.4242,214214.8734,208316.289,238727.9163,278562.3573,222147.5723,272953.0742,285185.6722,259917.6449,265199.3579,250014.7354,215359.7016,255222.3221,200131.8053,217626.1622,232940.6456,250453.6104,189779.5065,164296.3912,187116.8227,261961.725,215226.6426,247355.7948,245153.4971,203932.1588,198724.5365,247858.4955,227983.9914,211995.5576,213994.5735,215216.8933,217271.2591,221176.894,175993.1381
Q8R420,Abca3,ATP-binding cassette sub-family A member 3 OS=Mus musculus GN=Abca3 PE=2 SV=3,100907.8688,112487.1248,110617.0781,112375.8882,106337.1103,122032.3268,117243.605,116937.4509,105620.0192,117214.0234,119270.7178,107192.8289,105851.658,115011.7396,119511.3208,114485.9139,112266.2946,116339.5634,121168.2621,116643.4526,81842.24309,109469.9865,115184.8585,118833.6506,113220.1902,117552.4982,113383.607,120029.8841,107592.5376,103574.2168,112102.392,105586.5578,94244.86089,104284.3172,110937.4182,121443.9656,106843.6256,102436.2705,117133.9576,99570.41349,108439.5652,124075.6098,127512.2287,117032.0726,106835.4683,104071.0773,111094.1645,117160.2008
Q8K448,Abca5,ATP-binding cassette sub-family A member 5 OS=Mus musculus GN=Abca5 PE=1 SV=2,287334.145,304394.5344,330176.7257,358767.4608,321171.9009,427246.1893,377003.18,354635.1955,350652.9399,390386.8113,450681.0661,306240.1897,332689.7578,396803.974,359866.2487,370569.1358,338785.9825,366351.6683,434702.7507,388229.292,253754.5898,356983.985,407861.4927,380761.7697,338094.9764,393297.4411,346245.1662,337504.1553,340114.5871,326609.2682,334895.7742,319612.9992,296133.1437,327684.7981,374202.7287,364510.7201,337607.4234,299261.9119,315434.3004,319295.4356,331905.5485,366091.0558,371246.6408,313282.5107,297857.9364,300354.2663,295345.7003,260722.0132
Q8K441,Abca6,ATP-binding cassette sub-family A member 6 OS=Mus musculus GN=Abca6 PE=2 SV=2,14314.52077,13602.92065,16463.43254,25319.15863,14414.83343,20569.09788,24807.99842,22502.69625,16803.23841,20497.97595,21334.81966,23000.20693,19248.00179,21427.80288,17132.31015,25834.17542,17348.17308,18751.50373,30465.23501,28863.19859,19011.39135,19660.97948,16874.33571,21733.62693,16395.53262,18195.82482,14106.78987,22000.54866,14415.41347,15984.48289,23942.34628,15974.72893,16371.46455,16311.51107,16052.0746,22941.77922,14427.42388,13878.72424,12191.23155,22304.46986,17683.4326,15640.00251,22575.06886,21493.58504,15990.8933,13945.93644,18084.96079,18120.57986
Q8K440,Abca8b,ATP-binding cassette sub-family A member 8-B OS=Mus musculus GN=Abca8b PE=2 SV=2,47912.97021,38492.76281,39899.8492,44225.53261,45110.926,47029.08907,36896.91834,38230.03963,55194.56972,51611.96841,45247.28528,38485.52549,50794.56593,47740.21987,41656.17723,40216.50177,49507.12123,39604.24665,47360.06528,47993.05192,47254.25822,51377.52337,45303.86177,49920.40436,53038.02586,46505.11692,41649.92554,42035.28582,51254.23593,45494.6773,42868.04375,39673.03476,46302.59388,60869.14679,41177.02632,45206.92735,54596.07324,39568.60116,44749.9067,41134.42755,56522.46797,47936.00818,51926.72659,40956.03366,53263.17095,61438.57755,40452.29841,38795.07218
P21447,Abcb1a,Multidrug resistance protein 1A OS=Mus musculus GN=Abcb1a PE=1 SV=3,17459.78585,12265.21065,15507.36351,17934.25495,22328.05321,18416.91668,18643.28766,13944.7165,17586.26381,26647.44977,20437.82516,14355.94356,20316.08997,18807.60565,14194.57285,15898.03435,17360.02016,15026.53492,20243.21368,23440.53412,21529.07301,20918.69652,16919.67886,19868.24278,22790.37195,18848.31489,14996.7136,14269.37224,25877.48981,15161.28817,20148.82543,16132.52404,18865.61092,32108.93812,12464.19176,17029.84355,22721.82017,13879.71313,13871.92001,16791.90909,26521.29389,19822.08045,19074.0746,12634.88833,18030.82666,19599.11821,12729.21199,13768.10007
P21440,Abcb4,Multidrug resistance protein 3 OS=Mus musculus GN=Abcb4 PE=2 SV=2,18141.94073,11428.92803,12378.05966,18461.82536,23010.20809,21244.09304,19877.34412,17997.1688,18268.41869,27329.60465,18341.07063,17887.97365,20998.24485,15825.67554,13386.33672,18493.9152,18042.17504,13749.25837,19165.7309,24317.89604,22211.22789,21600.8514,16729.46342,21519.34631,23472.52683,18683.78432,16787.93388,17388.97479,26559.64469,15324.29994,20579.19255,15888.60198,19547.7658,32791.093,13068.51272,17394.10185,23403.97505,12155.31593,10553.22738,18442.54557,27203.44877,18661.54015,18663.43794,16454.99266,18712.98154,20281.27309,11876.16764,16277.67205
